代码,名称,得分,突破趋势,当前价,涨幅%,MA200,前阻力位,突破力度%,BB值,BB中文,信号,所有指标综合建议,震荡指标综合建议,移动平均线综合建议,RSI(14),RSI[1],"Stochastic %K (14, 3, 3)",Stoch.D,Stoch.K[1],Stoch.D[1],CCI指标(20),CCI20[1],平均趋向指数ADX(14),ADX+DI,ADX-DI,ADX+DI[1],ADX-DI[1],动量震荡指标(AO),AO[1],AO[2],动量指标(10),Mom[1],"MACD Level (12, 26)",MACD.signal,Rec.Stoch.RSI,Stochastic RSI Fast,Rec.WR,威廉百分比变动(14),Rec.BBPower,牛熊力量(BBP),Rec.UO,终极震荡指标UO,指数移动平均线(10),当前收盘价,简单移动平均线(10),指数移动平均线(20),简单移动平均线(20),指数移动平均线(30),简单移动平均线(30),指数移动平均线(50),简单移动平均线(50),指数移动平均线(100),简单移动平均线(100),指数移动平均线(200),简单移动平均线(200),Rec.Ichimoku,一目均衡表基准线,Rec.VWMA,成交量加权移动平均线 VWMA (20),Rec.HullMA9,船体移动平均线 Hull MA (9)
603040,新坐标,3,低-低-低,82.94,3.16,50.71,82.72,0.27,5.1,强多,买入,0.5576 (买入),0.1818 (买入),0.9333 (强力买入),63.1949 (中立),58.0680 (中立),86.0954 (卖出),84.1015 (卖出),73.2753 (中立),76.7029 (中立),129.8700 (卖出),116.6614 (中立),22.8597 (中立),27.0110 (中立),11.0590 (中立),25.4956 (中立),12.0837 (中立),4.3912 (买入),4.3046 (中立),3.8602 (中立),7.0000 (买入),6.4000 (中立),1.8377 (买入),1.1870 (中立),-1.0000 (中立),93.4697 (中立),0.0000 (中立),-3.5559 (卖出),0.0000 (中立),4.8904 (买入),0.0000 (中立),53.4529 (中立),79.8668 (买入),83.3 (中立),79.7210 (买入),78.2293 (买入),76.9150 (买入),77.1810 (买入),76.9983 (买入),74.8057 (买入),76.9352 (买入),67.5240 (买入),67.5777 (买入),55.8464 (买入),51.1895 (买入),0.0000 (中立),76.9000 (中立),1.0000 (中立),77.0829 (买入),1.0000 (中立),82.5196 (买入)
002536,飞龙股份,3,低-低-低,24.49,3.12,19.06,23.95,2.25,0.55,强多,买入,0.5576 (买入),0.1818 (买入),0.9333 (强力买入),64.3090 (中立),60.5229 (中立),90.1867 (卖出),74.9246 (卖出),78.1840 (中立),65.2392 (中立),188.7596 (卖出),189.3413 (中立),14.5441 (中立),33.7486 (中立),17.2507 (中立),32.6909 (中立),18.9862 (中立),0.3736 (买入),-0.0883 (中立),-0.4697 (中立),3.1400 (买入),2.2800 (中立),0.1004 (买入),-0.2568 (中立),0.0000 (中立),100.0000 (中立),0.0000 (中立),-7.6087 (卖出),0.0000 (中立),3.2592 (买入),0.0000 (中立),57.7651 (中立),22.7089 (买入),24.45 (中立),22.3290 (买入),22.4600 (买入),22.1800 (买入),22.5475 (买入),22.3093 (买入),22.7014 (买入),22.8458 (买入),21.9746 (买入),23.1082 (买入),19.7226 (买入),19.1883 (买入),0.0000 (中立),22.5000 (中立),1.0000 (中立),22.5095 (买入),1.0000 (中立),24.0156 (买入)
603042,华脉科技,3,低-低-低,18.0,1.41,15.35,17.82,1.01,0.51,强多,买入,0.5576 (买入),0.1818 (买入),0.9333 (强力买入),65.4383 (中立),64.0307 (中立),78.6627 (卖出),64.2875 (中立),65.1208 (中立),46.7043 (中立),219.3421 (卖出),329.0519 (中立),25.7563 (中立),36.8747 (中立),12.5898 (中立),38.8130 (中立),12.5945 (中立),0.8415 (买入),0.6529 (中立),0.4122 (中立),1.7800 (买入),1.1500 (中立),0.3957 (买入),0.2372 (中立),0.0000 (中立),100.0000 (中立),0.0000 (中立),-28.9086 (中立),0.0000 (中立),2.1961 (买入),0.0000 (中立),47.8634 (中立),16.9333 (买入),17.96 (中立),16.7740 (买入),16.5676 (买入),16.4340 (买入),16.3742 (买入),16.2533 (买入),16.1883 (买入),15.9128 (买入),15.9290 (买入),16.0454 (买入),15.2898 (买入),15.3455 (买入),0.0000 (中立),17.1900 (中立),1.0000 (中立),16.7444 (买入),1.0000 (中立),17.7763 (买入)
600337,美克家居,1,低-高-高,3.07,2.68,2.14,2.89,6.23,0.25,强多,买入,0.4667 (买入),0 (中立),0.9333 (强力买入),70.1825 (卖出),68.0831 (中立),93.5835 (卖出),83.9528 (卖出),83.8770 (中立),72.9143 (中立),186.5061 (卖出),196.8907 (中立),40.9531 (中立),33.9967 (中立),10.2164 (中立),34.4746 (中立),11.0014 (中立),0.3658 (买入),0.3416 (中立),0.3160 (中立),0.4200 (买入),0.5800 (中立),0.1579 (买入),0.1163 (中立),0.0000 (中立),100.0000 (中立),0.0000 (中立),-7.4074 (卖出),0.0000 (中立),0.5507 (买入),0.0000 (中立),58.2268 (中立),2.8140 (买入),3.07 (中立),2.7880 (买入),2.6775 (买入),2.6425 (买入),2.5917 (买入),2.5223 (买入),2.4835 (买入),2.4236 (买入),2.3411 (买入),2.2667 (买入),2.2145 (买入),2.1385 (买入),0.0000 (中立),2.6750 (中立),1.0000 (中立),2.6952 (买入),1.0000 (中立),3.0243 (买入)
003016,欣贺股份,0,高-高-高,12.79,9.97,7.92,9.9,29.19,1.12,强多,买入,0.603 (买入),0.2727 (买入),0.9333 (强力买入),76.5903 (卖出),71.0796 (中立),90.0818 (卖出),78.8684 (卖出),73.9224 (中立),72.2638 (中立),262.1553 (卖出),182.6845 (中立),49.9811 (中立),37.3687 (中立),8.9561 (中立),30.3979 (中立),9.9529 (中立),1.8073 (买入),1.4028 (中立),1.1628 (中立),3.5600 (买入),2.8500 (中立),0.7032 (买入),0.4090 (中立),0.0000 (中立),92.6245 (中立),0.0000 (中立),0.0000 (卖出),0.0000 (中立),4.2037 (买入),0.0000 (中立),62.5428 (中立),10.6985 (买入),12.79 (中立),10.3410 (买入),10.0478 (买入),9.8100 (买入),9.6925 (买入),9.4793 (买入),9.2616 (买入),8.9926 (买入),8.7152 (买入),8.5427 (买入),8.2518 (买入),7.9195 (买入),0.0000 (中立),10.5350 (中立),1.0000 (中立),10.1644 (买入),1.0000 (中立),11.8739 (买入)
002098,浔兴股份,0,高-高-高,11.3,4.15,9.12,10.23,10.46,0.66,强多,买入,0.603 (买入),0.2727 (买入),0.9333 (强力买入),76.0402 (卖出),71.8645 (中立),81.9245 (卖出),79.6708 (卖出),73.0998 (中立),71.2894 (中立),209.4687 (卖出),187.5155 (中立),44.5645 (中立),43.4164 (中立),6.0756 (中立),41.6834 (中立),7.2831 (中立),1.1455 (买入),1.0104 (中立),0.8744 (中立),1.4300 (买入),0.7700 (中立),0.4295 (买入),0.2979 (中立),0.0000 (中立),100.0000 (中立),0.0000 (中立),-21.0345 (中立),0.0000 (中立),1.9749 (买入),0.0000 (中立),53.7880 (中立),10.4484 (买入),11.27 (中立),10.3140 (买入),10.0668 (买入),9.9545 (买入),9.8464 (买入),9.6657 (买入),9.6221 (买入),9.3426 (买入),9.4099 (买入),9.4359 (买入),9.0809 (买入),9.1638 (买入),0.0000 (中立),10.4300 (中立),1.0000 (中立),10.1963 (买入),1.0000 (中立),11.0837 (买入)
603408,建霖家居,0,高-高-高,14.47,3.58,11.77,13.13,10.21,0.59,强多,买入,0.5121 (买入),0.0909 (中立),0.9333 (强力买入),76.0246 (卖出),70.6626 (中立),70.5725 (卖出),66.8268 (中立),55.9701 (中立),63.2713 (中立),203.1983 (卖出),153.5420 (中立),45.3165 (中立),39.4965 (中立),6.6224 (中立),33.3844 (中立),7.8470 (中立),0.9465 (买入),0.8803 (中立),0.8333 (中立),1.2900 (买入),1.3000 (中立),0.3720 (买入),0.2833 (中立),0.0000 (中立),100.0000 (中立),0.0000 (中立),-19.2825 (卖出),0.0000 (中立),1.4021 (买入),0.0000 (中立),51.7047 (中立),13.3015 (买入),13.97 (中立),13.2350 (买入),12.9851 (买入),12.9305 (买入),12.7790 (买入),12.6800 (买入),12.5247 (买入),12.2874 (买入),12.2423 (买入),12.1194 (买入),12.1409 (买入),11.9648 (买入),0.0000 (中立),13.2350 (中立),1.0000 (中立),13.0725 (买入),1.0000 (中立),13.7314 (买入)
