代码,名称,信号,当前价,涨幅%,MA200,前阻力位,突破力度%,BB值,BB中文
002512,达华智能,买入,7.84,9.96,4.74,4.27,83.61,0.77,强多
002752,昇兴股份,买入,8.7,9.99,5.7,5.98,45.48,0.64,强多
600163,中闽能源,买入,6.11,0.66,5.31,5.51,10.89,0.09,强多
603667,五洲新春,买入,54.35,0.7,40.17,49.36,10.11,3.13,强多
603668,天马科技,买入,18.19,4.96,13.62,16.68,9.05,1.24,强多
002105,信隆健康,买入,8.51,9.95,7.64,7.94,7.18,0.25,强多
002967,广电计量,买入,22.68,3.47,18.94,21.72,4.42,1.05,强多
002725,跃岭股份,买入,17.52,9.98,13.44,17.19,1.92,1.28,强多
002943,宇晶股份,买入,37.46,3.65,28.9,36.8,1.79,0.22,强多
603223,恒通股份,买入,11.45,0.97,9.68,11.27,1.6,0.39,强多
002268,电科网安,买入,18.75,1.13,17.18,18.65,0.54,0.54,强多
