代码,名称,得分,突破趋势,当前价,涨幅%,MA200,前阻力位,突破力度%,BB值,BB中文,信号
002725,跃岭股份,3,低-低-低,17.52,9.98,13.44,17.19,1.92,1.28,强多,买入
002105,信隆健康,3,低-低-低,8.51,9.95,7.64,7.94,7.18,0.25,强多,买入
002217,合力泰,3,低-低-低,3.78,9.88,2.67,3.67,3.0,0.14,强多,买入
002943,宇晶股份,3,低-低-低,37.35,3.35,28.9,36.8,1.49,0.19,强多,买入
002268,电科网安,3,低-低-低,18.72,0.97,17.18,18.65,0.38,0.54,强多,买入
002967,广电计量,2,低-低-高,23.28,6.2,18.94,21.72,7.18,1.1,强多,买入
603668,天马科技,2,低-低-高,17.85,3.0,13.61,16.68,7.01,1.18,强多,买入
600573,惠泉啤酒,1,低-高-高,14.17,10.02,11.76,12.58,12.64,0.45,强多,买入
002752,昇兴股份,0,高-高-高,8.7,9.99,5.7,5.98,45.48,0.64,强多,买入
002512,达华智能,0,高-高-高,7.84,9.96,4.74,4.27,83.61,0.77,强多,买入
600163,中闽能源,0,高-高-高,6.22,2.47,5.31,5.51,12.89,0.11,强多,买入
