日期,代码,名称,现价,涨幅(%),挤压天数,绿色动能,动能情况,突破趋势,是否放量,是否ATH,换手率(%),市盈率(动),总市值(亿),流通市值(亿),年涨幅(%)
2026-01-06,000629,钒钛股份,3.53,9.97,14,6,绿亮[+0.01]-绿亮[+0.04]-绿亮[+0.06]-绿亮[+0.08]-绿亮[+0.10]-绿亮[+0.12],低-低-低-低-低-低,是,否,4.22,-165.47,327.97,327.95,13.87
2026-01-06,000929,*ST兰黄,9.49,4.98,35,6,绿亮[+0.32]-绿亮[+0.35]-绿亮[+0.36]-绿暗[+0.36]-绿暗[+0.32]-绿暗[+0.32],低-低-低-低-低-低,否,否,1.36,120.99,17.63,17.63,7.72
2026-01-06,000933,神火股份,29.79,4.64,8,6,绿暗[+0.92]-绿亮[+0.95]-绿暗[+0.80]-绿暗[+0.75]-绿亮[+0.81]-绿亮[+0.97],低-低-低-低-低-高,否,否,2.88,14.4,669.98,669.53,8.45
2026-01-06,000960,锡业股份,31.11,10.01,7,6,绿暗[+1.60]-绿暗[+1.52]-绿暗[+1.38]-绿暗[+1.21]-绿暗[+1.15]-绿亮[+1.23],高-高-高-高-高-高,否,是,4.09,22.0,512.01,512.01,11.59
2026-01-06,000970,中科三环,13.87,1.24,15,6,绿亮[+0.21]-绿亮[+0.24]-绿亮[+0.28]-绿亮[+0.30]-绿亮[+0.30]-绿暗[+0.30],低-低-低-低-低-低,否,否,2.37,140.01,168.62,168.62,2.29
2026-01-06,002025,航天电器,56.85,10.0,6,6,绿暗[+3.28]-绿亮[+3.35]-绿暗[+3.34]-绿暗[+3.20]-绿亮[+3.21]-绿亮[+3.40],低-低-低-低-低-低,否,否,12.75,132.96,258.91,258.02,13.41
2026-01-06,002083,孚日股份,14.06,7.41,18,6,绿亮[+0.60]-绿亮[+0.85]-绿亮[+0.93]-绿亮[+1.16]-绿亮[+1.25]-绿亮[+1.42],低-低-低-低-低-低,否,否,18.43,33.73,133.1,133.05,18.15
2026-01-06,002545,东方铁塔,20.72,4.81,31,3,红亮[-0.15]-红暗[-0.10]-红暗[-0.03]-绿亮[+0.07]-绿亮[+0.22]-绿亮[+0.56],低-低-低-低-低-高,否,否,2.2,23.35,257.77,234.17,12.3
2026-01-06,002819,东方中科,30.65,2.03,15,5,绿暗[+0.12]-绿暗[+0.07]-绿亮[+0.11]-绿暗[+0.02]-红亮[-0.02]-绿亮[+0.37],低-低-低-低-低-低,是,否,12.62,-83.8,91.83,72.05,12.23
2026-01-06,002882,金龙羽,33.88,10.0,45,0,红暗[-0.57]-红暗[-0.35]-红暗[-0.18]-红暗[-0.10]-红亮[-0.16]-红暗[-0.15],低-低-低-低-低-低,是,否,3.98,104.76,146.67,83.59,12.33
