日期,代码,名称,当前价,涨幅(%),前1日,前2日,前3日,前4日,前5日,前6日,SQZ释放评分,RESISTANCE策略命中,建议止损价,ADX命中,换手率(%),市盈率(动),总市值(亿),流通市值(亿),年涨幅(%)
2025-11-03,000608,*ST阳光,2.2,2.8,绿|亮,绿|亮,绿|亮,绿|亮,绿|亮,红|暗,3.0,"{'突破趋势': '低-低-低', '突破得分': 3, 'EMA200': 1.92, '前高': 2.14}",2.05,,1.65,-20.53,19.72,19.6,16.89
2025-11-03,000639,西王食品,3.32,3.11,绿|亮,绿|亮,绿|亮,绿|亮,绿|亮,红|暗,3.0,,3.12,"{'ADX': 21.36, '+DI': 26.58, '-DI': 18.05}",7.23,1282.54,38.0,38.0,-2.22
2025-11-03,000809,和展能源,3.49,-2.79,绿|亮,绿|亮,绿|暗,绿|亮,绿|亮,绿|亮,2.9,,3.08,"{'ADX': 29.71, '+DI': 40.05, '-DI': 22.47}",2.37,-41.64,27.71,27.71,9.8
2025-11-03,000820,*ST节能,2.92,5.04,绿|亮,绿|暗,绿|暗,绿|亮,绿|亮,绿|亮,3.9,,2.68,"{'ADX': 29.25, '+DI': 36.19, '-DI': 13.18}",1.3,-194.64,21.72,9.98,-3.72
2025-11-03,000863,三湘印象,3.89,2.1,绿|亮,绿|亮,绿|亮,绿|亮,绿|亮,红|暗,3.0,,3.56,,5.63,676.15,66.47,65.51,45.1
2025-11-03,000892,欢瑞世纪,7.85,9.94,绿|亮,红|暗,红|暗,红|暗,红|暗,红|暗,15.6,"{'突破趋势': '低-低-高', '突破得分': 2, 'EMA200': 4.42, '前高': 6.88}",6.74,"{'ADX': 33.11, '+DI': 40.34, '-DI': 7.05}",5.17,-147.22,68.77,49.83,115.03
2025-11-03,000909,ST数源,5.97,2.05,绿|亮,绿|亮,绿|亮,绿|亮,绿|亮,绿|亮,2.1,,5.61,,0.32,-26.47,23.81,23.81,-3.03
2025-11-03,001266,宏英智能,33.65,10.0,绿|亮,绿|亮,绿|亮,绿|亮,红|暗,红|暗,4.8,"{'突破趋势': '低-低-低', '突破得分': 3, 'EMA200': 25.97, '前高': 31.8}",28.0,"{'ADX': 24.44, '+DI': 34.85, '-DI': 15.61}",4.81,187.59,30.52,17.06,29.4
2025-11-03,001316,润贝航科,35.17,1.3,绿|亮,绿|亮,绿|亮,绿|亮,绿|亮,绿|亮,2.1,,31.69,"{'ADX': 21.74, '+DI': 23.92, '-DI': 13.8}",3.51,28.16,44.27,42.8,91.25
2025-11-03,002009,天奇股份,18.13,0.44,绿|亮,红|暗,红|暗,红|暗,红|暗,红|暗,15.6,,16.52,,5.24,86.91,77.87,68.56,27.2
