日期,代码,名称,当前价,涨幅(%),前1日,前2日,前3日,前4日,前5日,前6日,SQZ释放评分,建议止损价,ADX命中,RESISTANCE策略命中,换手率(%),市盈率(动),总市值(亿),流通市值(亿),年涨幅(%)
2025-12-26,000600,建投能源,8.81,0.34,绿|亮,绿|亮,绿|亮,绿|亮,绿|亮,绿|亮,2.1,8.38,,,2.13,7.53,158.86,96.03,59.31
2025-12-26,000830,鲁西化工,16.81,0.84,绿|亮,绿|亮,绿|亮,绿|亮,红|暗,红|暗,4.8,15.52,"{""ADX"": 31.3, ""+DI"": 34.62, ""-DI"": 9.4}","{""突破趋势"": ""低-低-低"", ""突破得分"": 3, ""EMA200"": 12.47, ""前高"": 16.78}",1.61,23.46,320.12,320.09,48.24
2025-12-26,000902,新洋丰,15.86,-0.13,绿|亮,绿|亮,绿|亮,红|暗,红|暗,红|暗,7.5,15.28,,,0.76,10.87,199.0,181.25,24.49
2025-12-26,001212,中旗新材,53.0,-2.27,绿|亮,绿|亮,绿|亮,绿|亮,绿|暗,绿|亮,2.5,48.72,,,6.87,2153.44,106.24,91.87,217.75
2025-12-26,002009,天奇股份,19.36,10.0,红|暗,红|暗,红|暗,红|暗,红|暗,红|暗,21.0,18.33,,"{""突破趋势"": ""低-低-低"", ""突破得分"": 3, ""EMA200"": 16.17, ""前高"": 18.88}",5.24,86.91,77.87,68.56,27.2
2025-12-26,002058,*ST威尔,23.1,0.35,绿|亮,绿|亮,绿|亮,红|暗,红|暗,红|暗,7.5,21.32,,,1.2,12.72,33.14,33.06,115.28
2025-12-26,002081,金 螳 螂,3.62,10.03,红|暗,红|暗,红|暗,红|暗,红|暗,红|暗,21.0,3.19,"{""ADX"": 43.92, ""+DI"": 43.14, ""-DI"": 9.1}",,5.01,18.89,96.12,95.73,4.32
2025-12-26,002096,易普力,13.45,0.67,绿|亮,绿|亮,绿|亮,红|暗,红|暗,红|暗,7.5,12.97,"{""ADX"": 25.27, ""+DI"": 24.5, ""-DI"": 19.14}",,0.7,19.42,166.84,94.28,15.45
2025-12-26,002296,辉煌科技,11.07,0.54,绿|亮,绿|亮,红|暗,红|暗,红|暗,红|亮,10.9,10.56,,,3.43,19.9,43.13,38.46,15.19
2025-12-26,002364,中恒电气,26.92,-0.33,绿|亮,绿|亮,绿|亮,绿|暗,绿|暗,绿|暗,3.3,24.52,,,7.23,156.78,151.71,150.24,151.82
2025-12-26,002406,远东传动,7.86,-0.88,绿|亮,红|暗,红|暗,红|暗,红|暗,红|暗,15.6,7.52,"{""ADX"": 25.96, ""+DI"": 31.08, ""-DI"": 22.04}",,3.37,45.15,57.4,47.33,24.76
2025-12-26,002460,赣锋锂业,68.57,3.69,绿|亮,绿|亮,绿|亮,绿|亮,红|暗,红|暗,4.8,62.89,,,6.48,4223.31,1437.05,831.5,96.7
2025-12-26,002557,洽洽食品,22.0,0.0,绿|亮,绿|亮,绿|亮,绿|亮,红|暗,红|暗,4.8,21.17,,,0.95,49.68,111.29,111.05,-20.78
2025-12-26,002652,扬子新材,4.42,9.95,红|暗,红|暗,红|暗,红|暗,红|暗,红|暗,21.0,3.85,,"{""突破趋势"": ""低-低-低"", ""突破得分"": 3, ""EMA200"": 3.42, ""前高"": 4.18}",10.95,-108.77,22.63,22.63,56.74
2025-12-26,002654,万润科技,14.37,-0.42,绿|亮,绿|亮,绿|亮,绿|亮,红|暗,红|暗,4.8,13.43,,,4.52,328.19,121.47,121.46,18.47
2025-12-26,002709,天赐材料,45.74,6.3,绿|亮,红|暗,红|暗,红|暗,红|暗,红|暗,15.6,39.88,,,9.95,165.88,930.3,688.13,133.13
2025-12-26,002738,中矿资源,80.22,8.04,绿|亮,绿|亮,绿|亮,红|暗,红|暗,红|暗,7.5,70.5,,"{""突破趋势"": ""低-高-低"", ""突破得分"": 2, ""EMA200"": 41.92, ""前高"": 75.0}",4.29,212.56,578.78,570.4,129.2
2025-12-26,002756,永兴材料,55.51,10.01,绿|亮,绿|亮,绿|亮,红|暗,红|暗,红|暗,7.5,48.08,,,5.75,42.22,299.26,215.78,50.27
2025-12-26,002801,微光股份,34.54,-1.09,绿|亮,绿|亮,绿|亮,绿|亮,绿|暗,绿|暗,2.7,32.98,,,1.93,20.45,79.31,40.0,44.16
2025-12-26,002824,和胜股份,19.99,4.5,红|暗,红|暗,红|暗,红|暗,红|暗,红|暗,21.0,17.96,,,12.87,46.52,62.2,37.81,28.72
2025-12-26,002870,香山股份,39.71,0.05,绿|亮,红|亮,红|亮,绿|暗,绿|暗,绿|暗,9.6,37.0,,,11.01,43.45,52.45,51.21,27.28
