日期,代码,名称,当前价,涨幅(%),得分,突破趋势,EMA200,前高,建议止损价,换手率(%),市盈率(动),总市值(亿),流通市值(亿),年涨幅(%)
2025-12-02,000829,天音控股,11.49,1.14,2,低-低-高,10.33,11.09,10.57,1.59,-144.0,109.79,109.68,-18.68
2025-12-02,002565,顺灏股份,9.71,9.97,3,低-低-低,5.62,9.08,8.05,35.89,183.75,164.93,164.93,418.67
2025-12-02,002769,普路通,11.76,3.8,0,高-高-高,8.48,10.06,10.47,7.5,87.13,41.81,41.78,60.69
2025-12-02,600461,洪城环境,9.96,2.15,2,低-低-高,9.12,9.6,9.48,0.57,9.92,123.41,123.41,1.26
2025-12-02,600795,国电电力,5.72,0.53,0,高-高-高,4.63,5.21,5.47,0.72,11.69,1055.87,1055.87,35.47
