日期,代码,名称,当前价,涨幅(%),得分,突破趋势,EMA200,前高,建议止损价,换手率(%),市盈率(动),总市值(亿),流通市值(亿),年涨幅(%)
2025-12-05,000408,藏格矿业,68.0,1.63,0,高-高-高,45.04,62.8,62.53,0.78,34.08,1250.06,1250.04,197.83
2025-12-05,000708,中信特钢,15.95,0.76,0,高-高-高,12.51,13.26,15.13,0.14,13.91,803.0,803.0,48.69
2025-12-05,000807,云铝股份,28.31,5.95,0,高-高-高,17.84,16.76,25.14,0.75,17.52,1027.21,1027.2,127.32
2025-12-05,002429,兆驰股份,6.81,2.87,3,低-低-低,5.22,6.73,6.22,4.3,25.42,339.07,338.87,32.1
2025-12-05,002595,豪迈科技,74.5,3.98,3,低-低-低,59.0,72.47,68.13,0.34,28.26,673.84,669.26,69.17
2025-12-05,002830,名雕股份,22.66,10.0,2,低-低-高,15.46,19.4,19.59,14.29,131.04,27.79,13.93,70.26
2025-12-05,600595,中孚实业,8.01,9.58,3,低-低-低,4.85,7.69,6.69,1.27,20.15,319.03,319.03,181.27
2025-12-05,600879,航天电子,12.69,3.51,2,低-低-高,10.05,12.11,11.1,19.47,220.18,614.0,614.0,108.87
2025-12-05,601168,西部矿业,26.23,4.63,3,低-低-低,17.98,25.39,23.55,1.11,15.72,617.2,617.2,71.86
