日期,代码,名称,当前价,涨幅(%),得分,突破趋势,EMA200,前高,建议止损价,换手率(%),市盈率(动),总市值(亿),流通市值(亿),年涨幅(%)
2025-12-25,002043,兔 宝 宝,14.41,2.34,3,低-低-低,10.93,14.29,13.31,0.83,14.25,119.57,106.08,27.64
2025-12-25,002134,天津普林,26.5,3.84,2,低-低-高,21.52,24.83,23.68,13.3,323.22,65.15,65.11,38.02
2025-12-25,002532,天山铝业,14.95,1.29,2,低-低-高,9.96,14.69,13.57,0.86,15.62,695.46,617.44,100.13
2025-12-25,002935,天奥电子,22.09,10.01,3,低-低-低,16.07,20.84,18.68,7.15,461.55,93.68,91.69,37.63
2025-12-25,003003,天元股份,15.4,10.0,0,高-高-高,12.17,12.9,13.07,32.63,41.11,27.21,18.14,63.66
2025-12-25,600426,华鲁恒升,31.62,2.7,2,低-低-高,23.75,30.09,29.11,0.81,21.21,671.36,670.17,50.14
2025-12-25,600783,鲁信创投,19.18,9.98,2,低-低-高,13.14,16.88,16.69,6.85,33.36,142.77,142.77,52.22
2025-12-25,600824,益民集团,5.16,10.02,0,高-高-高,4.35,4.63,4.37,5.66,212.29,54.39,54.39,15.96
2025-12-25,603331,百达精工,13.0,3.42,2,低-低-高,10.65,12.46,12.04,5.49,32.99,26.28,26.28,45.58
2025-12-25,605500,森林包装,9.78,5.73,3,低-低-低,8.66,9.63,8.83,6.6,100.59,40.53,40.53,43.61
2025-12-25,605598,上海港湾,61.9,10.01,0,高-高-高,27.61,32.25,52.61,4.4,143.36,151.4,150.43,177.58
