日期,代码,名称,当前价,涨幅(%),EMA200,ADX,建议止损价,换手率(%),市盈率(动),总市值(亿),流通市值(亿),年涨幅(%)
2025-12-25,002134,天津普林,26.5,3.84,21.52,25.3,23.68,13.3,323.22,65.15,65.11,38.02
2025-12-25,002393,力生制药,21.17,0.14,20.66,29.36,20.32,1.4,11.03,54.54,53.02,22.44
2025-12-25,002532,天山铝业,14.95,1.29,9.96,32.17,13.57,0.86,15.62,695.46,617.44,100.13
2025-12-25,003003,天元股份,15.4,10.0,12.17,21.06,13.07,32.63,41.11,27.21,18.14,63.66
2025-12-25,600426,华鲁恒升,31.62,2.7,23.75,37.03,29.11,0.81,21.21,671.36,670.17,50.14
2025-12-25,600783,鲁信创投,19.18,9.98,13.14,25.31,16.69,6.85,33.36,142.77,142.77,52.22
2025-12-25,600824,益民集团,5.16,10.02,4.35,20.81,4.37,5.66,212.29,54.39,54.39,15.96
2025-12-25,600889,南京化纤,16.14,1.06,15.78,20.3,15.03,1.82,-85.19,59.13,59.13,-9.12
2025-12-25,601968,宝钢包装,5.67,0.53,5.03,20.3,5.29,1.99,30.87,72.34,72.34,16.43
2025-12-25,603225,新凤鸣,19.29,5.47,13.38,20.21,17.09,1.02,25.39,294.09,292.36,76.81
2025-12-25,603331,百达精工,13.0,3.42,10.65,20.12,12.04,5.49,32.99,26.28,26.28,45.58
2025-12-25,603380,易德龙,40.37,4.42,32.16,20.64,36.78,5.69,27.6,64.77,64.77,68.28
2025-12-25,605500,森林包装,9.78,5.73,8.66,33.43,8.83,6.6,100.59,40.53,40.53,43.61
2025-12-25,605598,上海港湾,61.9,10.01,27.61,31.92,52.61,4.4,143.36,151.4,150.43,177.58
