日期,代码,名称,当前价,涨幅(%),得分,突破趋势,EMA200,前高,建议止损价,换手率(%),市盈率(动),总市值(亿),流通市值(亿),年涨幅(%)
2025-12-04,001330,博纳影业,8.55,9.06,0,高-高-高,5.26,6.98,7.2,13.13,-7.38,109.14,109.14,29.53
2025-12-04,002107,沃华医药,7.15,10.0,3,低-低-低,5.78,6.72,6.29,1.11,42.21,36.02,35.54,33.91
2025-12-04,002297,博云新材,10.01,2.56,3,低-低-低,8.01,9.87,9.18,4.15,177.3,71.01,71.01,80.09
2025-12-04,600800,渤海化学,4.59,6.5,1,低-高-高,3.79,4.19,4.04,9.44,-5.27,40.74,40.73,20.72
2025-12-04,603338,浙江鼎力,59.82,0.81,2,低-低-高,50.73,56.87,56.24,1.18,13.34,283.71,283.71,-11.79
2025-12-04,605299,舒华体育,11.77,10.0,3,低-低-低,9.2,10.7,9.74,5.81,102.98,48.82,48.82,55.14
