日期,代码,名称,当前价,涨幅(%),得分,突破趋势,信号前6日颜色,EMA200,前高,建议止损价,换手率(%),市盈率(动),总市值(亿),流通市值(亿),年涨幅(%)
2025-12-01,002976,瑞玛精密,31.28,9.99,2,低-低-高,前1日:lime | 前2日:red | 前3日:red | 前4日:red | 前5日:green | 前6日:green,23.96,26.87,25.72,7.52,149.15,41.81,18.62,27.71
2025-12-01,600589,大位科技,8.03,2.03,2,低-低-高,前1日:lime | 前2日:lime | 前3日:lime | 前4日:maroon | 前5日:red | 前6日:red,7.46,7.76,7.27,2.81,211.09,107.04,106.6,57.42
2025-12-01,603931,格林达,36.39,6.34,1,低-高-高,前1日:lime | 前2日:lime | 前3日:lime | 前4日:lime | 前5日:lime | 前6日:green,27.87,32.72,31.1,2.6,53.09,65.34,65.34,42.53
