日期,代码,名称,当前价,涨幅(%),左波峰日期,右波峰日期,建议止损价,换手率(%),市盈率(动),总市值(亿),流通市值(亿),年涨幅(%)
2025-12-10,000421,南京公用,7.19,-0.14,2025-11-26,2025-12-08,6.75,1.65,25.5,39.4,39.4,6.85
2025-12-10,000679,大连友谊,8.29,0.36,2025-11-25,2025-12-08,7.74,2.41,-35.95,27.37,27.37,17.43
2025-12-10,002458,益生股份,8.5,0.35,2025-11-26,2025-12-08,8.17,0.72,220.85,93.6,63.35,-8.74
2025-12-10,600039,四川路桥,9.75,4.17,2025-11-24,2025-12-08,8.85,0.19,12.24,865.21,864.98,44.83
2025-12-10,600597,光明乳业,8.1,0.0,2025-11-27,2025-12-08,7.87,0.68,96.85,112.62,112.62,-2.51
2025-12-10,601366,利群股份,4.67,2.41,2025-11-27,2025-12-08,4.41,8.15,261.99,47.98,47.98,4.17
2025-12-10,603787,新日股份,14.38,-0.28,2025-11-26,2025-12-08,13.34,1.45,19.38,29.92,29.92,27.2
