日期,代码,名称,当前价,涨幅(%),信号前6日颜色,建议止损价,换手率(%),市盈率(动),总市值(亿),流通市值(亿),年涨幅(%)
2025-11-06,000762,西藏矿业,28.5,6.74,前1日:lime | 前2日:green | 前3日:lime | 前4日:lime | 前5日:lime | 前6日:green,24.84,5.76,-1491.04,143.49,143.48,28.44
2025-11-06,000949,新乡化纤,4.76,0.85,前1日:lime | 前2日:maroon | 前3日:maroon | 前4日:red | 前5日:red | 前6日:red,4.48,4.15,53.61,95.22,95.19,39.65
2025-11-06,002150,通润装备,23.5,3.25,前1日:lime | 前2日:lime | 前3日:lime | 前4日:maroon | 前5日:maroon | 前6日:red,20.21,6.64,41.12,74.95,74.47,68.86
2025-11-06,002466,天齐锂业,55.14,1.6,前1日:lime | 前2日:lime | 前3日:lime | 前4日:lime | 前5日:lime | 前6日:lime,49.66,6.4,396.37,950.74,854.94,75.55
2025-11-06,002507,涪陵榨菜,13.32,0.3,前1日:lime | 前2日:lime | 前3日:lime | 前4日:lime | 前5日:lime | 前6日:lime,13.01,0.98,16.8,150.7,150.05,-4.74
2025-11-06,600166,福田汽车,2.91,0.34,前1日:lime | 前2日:lime | 前3日:lime | 前4日:lime | 前5日:lime | 前6日:lime,2.76,1.4,15.42,228.81,228.81,15.14
2025-11-06,603163,圣晖集成,51.17,3.62,前1日:lime | 前2日:lime | 前3日:lime | 前4日:lime | 前5日:lime | 前6日:lime,44.74,9.68,65.08,83.0,83.0,223.33
2025-11-06,603516,淳中科技,226.93,10.0,前1日:lime | 前2日:lime | 前3日:maroon | 前4日:maroon | 前5日:maroon | 前6日:maroon,180.7,2.61,-1162.95,453.37,453.37,305.31
2025-11-06,605001,威奥股份,8.34,0.97,前1日:lime | 前2日:lime | 前3日:lime | 前4日:green | 前5日:lime | 前6日:green,7.89,1.52,35.39,29.62,29.62,19.3
