日期,代码,名称,当前价,涨幅(%),左波峰日期,右波峰日期,建议止损价,换手率(%),市盈率(动),总市值(亿),流通市值(亿),年涨幅(%)
2025-12-11,000430,*ST张股,7.77,-1.4,2025-11-28,2025-12-09,7.39,0.0,-107.09,31.98,26.21,27.42
2025-12-11,000531,穗恒运Ａ,6.43,-0.46,2025-11-25,2025-12-09,6.2,0.83,11.76,68.84,60.13,16.37
2025-12-11,000869,张  裕Ａ,20.6,-1.15,2025-11-26,2025-12-09,20.19,0.17,54.42,136.05,94.21,-9.17
2025-12-11,002081,金 螳 螂,3.23,-1.22,2025-11-25,2025-12-09,3.12,5.01,18.89,96.12,95.73,4.32
2025-12-11,002096,易普力,12.82,-0.7,2025-11-27,2025-12-09,12.47,0.7,19.42,166.84,94.28,15.45
2025-12-11,002146,荣盛发展,1.57,-4.27,2025-11-27,2025-12-09,1.45,3.64,-1.65,68.27,61.41,-4.85
2025-12-11,002244,滨江集团,9.88,-0.4,2025-11-28,2025-12-09,9.11,1.24,9.63,307.41,265.37,15.83
2025-12-11,002539,云图控股,10.72,-1.29,2025-11-27,2025-12-09,10.1,2.23,16.03,144.2,105.22,56.69
2025-12-11,002557,洽洽食品,21.13,-0.42,2025-11-27,2025-12-09,20.49,0.95,49.68,111.29,111.05,-20.78
2025-12-11,002597,金禾实业,19.87,-0.45,2025-11-27,2025-12-09,19.25,1.93,23.52,122.64,122.32,-2.04
2025-12-11,002734,利民股份,15.59,-2.56,2025-11-26,2025-12-09,14.74,3.07,14.63,76.09,69.36,110.1
2025-12-11,002832,比音勒芬,15.36,-0.78,2025-11-27,2025-12-09,14.96,0.89,10.46,86.41,58.96,-27.59
2025-12-11,600188,兖矿能源,13.42,-0.22,2025-11-25,2025-12-09,12.93,0.45,14.2,1348.03,795.58,-0.15
2025-12-11,600332,白云山,25.65,-0.19,2025-11-28,2025-12-09,25.21,0.54,9.53,420.59,363.7,-6.34
2025-12-11,600425,青松建化,4.24,-0.93,2025-11-25,2025-12-09,4.05,1.59,16.26,67.88,58.32,10.73
2025-12-11,600546,山煤国际,10.24,-1.35,2025-11-26,2025-12-09,9.8,0.87,14.41,201.02,201.02,-8.98
2025-12-11,600575,淮河能源,3.58,0.0,2025-11-26,2025-12-09,3.46,0.64,25.43,255.14,138.35,-10.33
2025-12-11,600617,国新能源,3.24,-1.52,2025-11-26,2025-12-09,3.02,1.5,-505.12,62.12,57.17,19.26
2025-12-11,600636,*ST国化,8.22,0.0,2025-11-27,2025-12-09,7.92,0.67,83.19,38.16,38.16,-5.74
2025-12-11,600985,淮北矿业,11.37,-1.39,2025-11-26,2025-12-09,10.92,0.5,21.23,302.99,302.99,-15.54
2025-12-11,601101,昊华能源,7.33,0.83,2025-11-26,2025-12-09,7.01,0.49,14.17,104.69,104.69,-6.44
2025-12-11,601156,东航物流,16.88,0.48,2025-11-26,2025-12-09,16.2,0.66,10.97,292.75,174.18,11.22
2025-12-11,601918,新集能源,6.89,-0.14,2025-11-26,2025-12-09,6.63,1.01,8.87,174.6,174.6,-3.99
2025-12-11,603589,口子窖,30.42,0.46,2025-11-28,2025-12-09,29.53,0.49,18.58,183.86,183.86,-18.98
2025-12-11,603997,继峰股份,13.27,0.53,2025-11-25,2025-12-09,12.45,0.8,54.04,180.92,180.92,24.19
