日期,代码,名称,当前价,涨幅(%),左波峰日期,右波峰日期,建议止损价,换手率(%),市盈率(动),总市值(亿),流通市值(亿),年涨幅(%)
2025-12-26,000516,国际医学,4.47,-0.45,2025-12-16,2025-12-24,4.32,0.42,-25.56,100.08,98.56,-15.34
2025-12-26,000558,天府文旅,5.22,0.19,2025-12-16,2025-12-24,4.9,2.77,-273.6,67.3,67.27,53.08
2025-12-26,000889,中嘉博创,3.73,4.19,2025-12-12,2025-12-24,3.37,3.65,-89.28,34.92,32.45,44.02
2025-12-26,002032,苏 泊 尔,45.97,-0.67,2025-12-11,2025-12-24,44.87,0.29,20.22,368.39,368.15,-8.83
2025-12-26,002508,老板电器,19.5,0.0,2025-12-11,2025-12-24,18.87,0.53,11.94,184.26,182.04,-4.55
2025-12-26,002563,森马服饰,5.52,0.91,2025-12-12,2025-12-24,5.2,1.31,20.78,148.71,121.91,-15.34
2025-12-26,002891,中宠股份,52.96,-0.58,2025-12-16,2025-12-24,50.54,0.69,36.27,161.2,161.2,49.82
2025-12-26,600016,民生银行,3.86,0.0,2025-12-12,2025-12-24,3.77,0.41,4.44,1690.0,1368.84,-1.78
2025-12-26,600155,华创云信,6.66,0.45,2025-11-27,2025-12-24,6.4,1.65,54.02,147.42,147.42,-10.0
2025-12-26,600180,瑞茂通,3.69,-0.81,2025-12-12,2025-12-24,3.51,2.14,40.23,40.1,40.1,-13.58
2025-12-26,600491,龙元建设,2.7,-1.1,2025-12-16,2025-12-24,2.59,1.14,-12.08,41.3,41.3,-27.81
