日期,代码,名称,当前价,涨幅(%),得分,突破趋势,信号前6日颜色,EMA200,前高,建议止损价,换手率(%),市盈率(动),总市值(亿),流通市值(亿),年涨幅(%)
2025-12-02,000829,天音控股,11.49,1.14,2,低-低-高,前1日:lime | 前2日:green | 前3日:lime | 前4日:green | 前5日:lime | 前6日:lime,10.33,11.09,10.57,2.14,-142.12,108.35,108.25,-19.74
2025-12-02,002565,顺灏股份,9.71,9.97,3,低-低-低,前1日:lime | 前2日:lime | 前3日:red | 前4日:green | 前5日:green | 前6日:green,5.62,9.08,8.05,32.92,185.29,166.31,166.31,423.0
2025-12-02,002769,普路通,11.76,3.8,0,高-高-高,前1日:lime | 前2日:lime | 前3日:maroon | 前4日:red | 前5日:green | 前6日:green,8.48,10.06,10.47,16.74,95.84,45.99,45.95,76.76
2025-12-02,600461,洪城环境,9.96,2.15,2,低-低-高,前1日:maroon | 前2日:red | 前3日:red | 前4日:red | 前5日:red | 前6日:green,9.12,9.6,9.48,0.58,9.87,122.77,122.77,0.74
2025-12-02,600795,国电电力,5.72,0.53,0,高-高-高,前1日:lime | 前2日:maroon | 前3日:maroon | 前4日:red | 前5日:red | 前6日:red,4.63,5.21,5.47,0.8,11.41,1030.9,1030.9,32.27
