日期,代码,名称,现价,涨幅(%),挤压天数,绿色动能,动能情况,突破趋势,是否放量,是否ATH,换手率(%),市盈率(动),总市值(亿),流通市值(亿),年涨幅(%)
2026-01-08,002023,海特高新,15.04,10.02,9,6,绿亮[+0.35]-绿暗[+0.29]-绿暗[+0.23]-绿暗[+0.22]-绿亮[+0.34]-绿亮[+0.43],低-低-低-低-低-低,是,是,11.89,70.23,111.43,111.43,11.08
2026-01-08,603416,信捷电气,61.13,10.01,18,0,红亮[-0.68]-红暗[-0.49]-红亮[-0.62]-红暗[-0.60]-红暗[-0.43]-红暗[-0.26],低-低-低-低-低-低,是,否,5.86,39.99,96.06,85.12,10.68
2026-01-08,603650,彤程新材,56.73,10.01,8,2,绿暗[+0.93]-绿暗[+0.39]-红亮[-0.22]-红亮[-0.69]-红亮[-0.93]-红暗[-0.27],低-低-低-低-低-高,是,是,10.21,53.06,349.52,348.59,28.52
2026-01-08,603488,展鹏科技,9.57,10.0,7,3,红暗[-0.11]-红暗[-0.07]-红暗[-0.02]-绿亮[+0.01]-绿亮[+0.08]-绿亮[+0.26],低-低-低-低-低-高,是,否,14.73,-38.55,27.94,27.94,22.69
2026-01-08,001215,千味央厨,44.92,9.99,19,6,绿暗[+1.61]-绿暗[+1.10]-绿暗[+0.87]-绿暗[+0.48]-绿暗[+0.18]-绿亮[+0.32],低-低-低-低-低-低,是,否,7.02,60.87,43.64,43.47,16.68
2026-01-08,002366,融发核电,8.83,9.96,17,6,绿亮[+0.15]-绿暗[+0.14]-绿暗[+0.13]-绿亮[+0.15]-绿亮[+0.19]-绿亮[+0.26],低-低-低-低-低-高,否,否,14.43,-188.03,183.75,110.95,17.58
2026-01-08,600590,泰豪科技,10.39,7.67,20,6,绿亮[+0.14]-绿亮[+0.15]-绿亮[+0.16]-绿亮[+0.16]-绿亮[+0.20]-绿亮[+0.25],低-低-低-低-低-高,是,否,12.63,135.6,88.61,87.65,10.41
2026-01-08,600257,大湖股份,7.22,5.56,28,2,红亮[-0.05]-红亮[-0.12]-红暗[-0.11]-红暗[-0.06]-绿亮[+0.01]-绿亮[+0.11],低-低-低-低-低-低,否,否,8.48,-4607.46,34.75,34.75,14.97
2026-01-08,000561,烽火电子,13.35,4.3,36,6,绿亮[+0.42]-绿亮[+0.46]-绿暗[+0.45]-绿亮[+0.51]-绿亮[+0.58]-绿亮[+0.67],高-高-高-高-高-高,否,否,13.37,-98.65,115.35,95.64,9.25
2026-01-08,000880,潍柴重机,30.7,3.96,20,2,红暗[-0.06]-红亮[-0.09]-红亮[-0.18]-红暗[-0.15]-绿亮[+0.05]-绿亮[+0.51],低-低-低-低-低-低,是,否,24.02,57.16,142.4,69.7,12.37
2026-01-08,000859,国风新材,12.93,3.94,15,6,绿暗[+1.10]-绿暗[+1.09]-绿暗[+0.96]-绿暗[+0.91]-绿亮[+0.95]-绿亮[+1.16],高-高-高-高-高-高,是,否,33.8,-132.44,115.85,115.84,27.77
2026-01-08,002099,海翔药业,6.86,2.85,28,5,红暗[-0.06]-绿亮[+0.02]-绿亮[+0.05]-绿亮[+0.11]-绿亮[+0.18]-绿亮[+0.28],低-高-低-低-高-高,否,否,2.47,1142.38,111.04,110.84,9.94
2026-01-08,600198,大唐电信,10.91,1.58,37,6,绿亮[+0.19]-绿暗[+0.16]-绿亮[+0.21]-绿亮[+0.24]-绿亮[+0.30]-绿亮[+0.51],高-高-高-高-高-高,是,否,14.85,-215.14,142.22,142.04,13.06
2026-01-08,002258,利尔化学,14.32,1.49,51,2,红亮[-0.06]-红暗[-0.04]-红暗[-0.03]-红亮[-0.05]-绿亮[+0.08]-绿亮[+0.24],低-低-低-低-低-高,否,否,4.28,22.55,114.62,114.44,9.73
2026-01-08,002072,凯瑞德,8.05,1.0,54,3,红暗[-0.08]-红暗[-0.02]-红暗[-0.01]-绿亮[+0.11]-绿亮[+0.22]-绿亮[+0.33],低-低-低-低-低-低,否,否,4.34,-105.07,29.6,23.88,11.19
