日期,代码,名称,信号等级,趋势过滤,当前价,涨幅%,StochK,StochD,EMA20,EMA50,EMA200,ADX,DI+,DI-,DI相对强,ADX信号,ATR,止损价,止盈价
2025-12-12,601566,九牧王,L1/L1 (强势/深回调),Level 1: C>E50>E200,15.03,10.03,27.49,17.25,13.69,12.1,9.87,47.98,36.88,16.79,0.42,Buy,1.521,10.29,21.11
2025-12-12,000546,金圆股份,L1/L2 (强势/浅回调),Level 1: C>E50>E200,6.59,10.02,53.76,31.06,6.08,5.78,5.29,28.09,35.62,18.59,0.61,Buy,0.361,5.4,8.03
2025-12-12,002584,西陇科学,L2/L(1/2) (启动/回调),Level 2: C>E20>E50,9.35,10.0,27.34,23.45,8.96,8.88,8.92,29.74,24.46,18.2,0.21,Buy,0.45,7.52,11.15
2025-12-12,601133,柏诚股份,L1/L1 (强势/深回调),Level 1: C>E50>E200,15.0,9.97,28.1,25.53,13.79,13.4,12.59,28.27,29.27,14.05,0.54,Buy,0.677,12.32,17.71
2025-12-12,000007,全新好,L1/L1 (强势/深回调),Level 1: C>E50>E200,10.55,4.56,23.66,18.34,9.93,9.15,7.94,35.44,31.31,16.56,0.42,Buy,0.541,8.7,12.71
2025-12-12,002128,电投能源,L1/L2 (强势/浅回调),Level 1: C>E50>E200,27.93,3.6,36.76,33.32,26.9,25.73,22.14,27.54,26.12,13.17,0.47,Buy,1.127,24.4,32.44
2025-11-19,601198,东兴证券,L1/L2 (强势/浅回调),Level 1: C>E50>E200,13.13,1.63,40.04,27.35,12.66,12.24,11.53,34.8,34.19,12.84,0.61,Buy,0.468,11.9,15.0
2025-12-12,603638,艾迪精密,L1/L1 (强势/深回调),Level 1: C>E50>E200,19.96,1.47,25.09,20.03,19.56,19.03,18.34,30.3,18.83,11.22,0.25,Buy,0.643,18.24,22.53
2025-12-12,600938,中国海油,L1/L1 (强势/深回调),Level 1: C>E50>E200,28.4,0.67,20.81,17.3,28.4,27.78,26.32,25.47,23.99,17.81,0.24,Buy,0.533,27.05,30.53
2025-12-12,000688,国城矿业,L1/L2 (强势/浅回调),Level 1: C>E50>E200,23.53,0.6,38.3,27.15,23.24,20.96,16.53,42.3,28.88,15.53,0.32,Buy,1.67,19.45,30.21
