代码,名称,得分,突破趋势,当前价,涨幅%,BB值,MA200,前阻力位,突破力度%,BB中文,信号
002202,金风科技,3,低-低-低,17.86,5.18,1.43,11.26,17.55,1.77,强多,买入
002639,雪人集团,2,低-低-高,19.98,10.02,1.42,10.71,17.09,16.91,强多,买入
000506,招金黄金,2,低-低-高,13.69,3.24,0.43,9.3,13.05,4.9,强多,买入
