代码,名称,得分,突破趋势,当前价,涨幅%,BB值,MA200,前阻力位,突破力度%,BB中文,信号
002639,雪人集团,2,低-低-高,19.98,10.02,1.42,10.71,17.09,16.91,强多,买入
605090,九丰能源,2,低-低-高,38.2,0.9,0.63,28.39,36.26,5.35,强多,买入
002853,皮阿诺,0,高-高-高,16.24,10.03,0.78,13.4,12.74,27.47,强多,买入
