日期,代码,名称,现价,涨幅(%),挤压天数,绿色动能,动能情况,突破趋势,是否ATH,换手率(%),市盈率(动),总市值(亿),流通市值(亿),年涨幅(%)
2025-01-08,001328,登康口腔,37.06,4.93,37,6,绿亮[+1.84]-绿亮[+1.54]-绿亮[+1.10]-绿亮[+0.72]-绿亮[+0.63]-绿亮[+0.56],低-低-高-高-高-高,否,3.37,37.52,67.97,16.99,27.31
2025-01-08,603063,禾望电气,25.32,9.99,7,2,绿亮[+0.95]-绿亮[+0.27]-红暗[-0.14]-红暗[-0.22]-红暗[-0.49]-红暗[-0.76],低-低-低-低-低-低,否,3.54,33.96,151.37,151.37,66.68
2025-01-08,603308,应流股份,16.26,4.36,37,4,绿亮[+0.41]-绿亮[+0.10]-红亮[-0.00]-绿暗[+0.02]-绿亮[+0.12]-红暗[-0.01],低-低-低-低-低-低,否,2.59,72.34,283.5,283.5,197.58
