日期,代码,名称,现价,涨幅(%),挤压天数,绿色动能,动能情况,突破趋势,是否ATH,换手率(%),市盈率(动),总市值(亿),流通市值(亿),年涨幅(%)
2024-12-02,000505,京粮控股,7.47,10.01,29,0,红暗[-0.05]-红暗[-0.05]-红亮[-0.07]-红暗[-0.06]-红暗[-0.07]-红亮[-0.07],低-低-低-低-低-低,是,8.13,-90.09,61.86,53.82,38.6
2024-12-02,000533,顺钠股份,4.76,2.37,7,6,绿亮[+0.18]-绿亮[+0.16]-绿亮[+0.14]-绿亮[+0.13]-绿亮[+0.12]-绿亮[+0.11],高-高-高-高-高-高,否,6.16,53.6,57.54,57.05,37.46
2024-12-02,000619,海螺新材,6.79,10.05,13,1,绿亮[+0.10]-红暗[-0.01]-红暗[-0.08]-红暗[-0.09]-红暗[-0.12]-红亮[-0.17],低-低-低-低-低-高,否,1.8,-53.58,27.4,22.36,0.98
2024-12-02,000631,顺发恒能,3.46,1.76,8,6,绿亮[+0.12]-绿暗[+0.07]-绿暗[+0.08]-绿亮[+0.08]-绿亮[+0.07]-绿亮[+0.05],低-高-高-高-低-高,否,0.41,96.95,77.85,77.85,10.54
2024-12-02,000889,中嘉博创,2.55,4.94,10,4,绿亮[+0.03]-绿亮[+0.00]-红亮[-0.00]-绿暗[+0.01]-绿亮[+0.01]-红暗[-0.02],高-高-高-高-高-高,是,1.38,-86.17,33.71,31.31,39.0
2024-12-02,002105,信隆健康,5.7,3.07,10,6,绿亮[+0.15]-绿亮[+0.13]-绿亮[+0.10]-绿亮[+0.08]-绿亮[+0.07]-绿暗[+0.05],低-低-高-高-高-高,否,3.05,-66.71,26.81,26.68,46.69
2024-12-02,002108,沧州明珠,4.1,6.22,9,4,绿亮[+0.00]-红亮[-0.03]-红亮[-0.02]-绿暗[+0.00]-绿暗[+0.03]-绿暗[+0.04],低-低-低-低-低-高,否,2.81,42.2,78.64,78.59,36.68
2024-12-02,002154,报 喜 鸟,4.82,5.7,24,0,红暗[-0.00]-红暗[-0.06]-红亮[-0.08]-红亮[-0.08]-红暗[-0.07]-红亮[-0.07],低-低-低-低-低-低,否,1.24,17.86,56.18,45.42,-11.7
2024-12-02,002195,岩山科技,4.05,10.05,6,6,绿亮[+0.17]-绿亮[+0.15]-绿亮[+0.13]-绿亮[+0.09]-绿亮[+0.02]-绿暗[+0.01],高-高-高-高-高-高,是,4.22,165.17,402.04,397.13,78.59
2024-12-02,002193,如意集团,6.44,10.09,16,2,绿亮[+0.12]-绿亮[+0.02]-红暗[-0.03]-红暗[-0.03]-红暗[-0.05]-红亮[-0.09],低-低-低-低-低-高,否,2.51,-8.7,13.92,13.92,-6.01
2024-12-02,002264,新 华 都,7.57,9.39,9,6,绿亮[+0.46]-绿亮[+0.43]-绿亮[+0.40]-绿亮[+0.39]-绿亮[+0.32]-绿暗[+0.29],低-高-高-高-高-高,否,9.18,26.79,63.56,57.82,45.23
2024-12-02,002349,精华制药,9.05,6.47,12,4,绿亮[+0.19]-绿亮[+0.17]-绿亮[+0.10]-绿亮[+0.03]-红亮[-0.02]-红亮[-0.00],低-低-低-低-低-低,否,0.82,25.61,60.23,59.11,-4.1
2024-12-02,002486,嘉麟杰,2.86,4.76,8,6,绿亮[+0.07]-绿亮[+0.04]-绿暗[+0.01]-绿暗[+0.01]-绿亮[+0.02]-绿暗[+0.01],低-高-高-高-高-高,否,2.34,36.98,25.64,25.52,26.94
2024-12-02,002482,广田集团,2.5,10.13,7,1,红暗[-0.04]-红暗[-0.08]-红亮[-0.09]-红亮[-0.05]-红亮[-0.01]-绿暗[+0.03],低-低-低-低-高-高,是,1.16,-49.82,63.39,63.27,-21.76
2024-12-02,002535,林州重机,4.42,9.95,23,6,绿暗[+0.03]-绿亮[+0.03]-绿亮[+0.02]-绿暗[+0.02]-绿亮[+0.03]-绿暗[+0.01],低-低-低-低-低-低,否,2.62,32.74,31.11,28.96,1.31
2024-12-02,002695,煌上煌,9.94,9.83,6,2,绿亮[+0.02]-红亮[-0.09]-红亮[-0.09]-红亮[-0.06]-红亮[-0.03]-绿暗[+0.02],低-低-低-低-低-高,否,0.65,48.77,65.7,60.04,39.43
2024-12-02,002842,翔鹭钨业,7.73,0.52,12,6,绿亮[+0.29]-绿亮[+0.14]-绿暗[+0.13]-绿暗[+0.16]-绿亮[+0.17]-绿亮[+0.15],高-高-高-高-高-高,否,10.88,68.53,47.31,38.82,132.85
2024-12-02,002848,*ST高斯,11.96,10.03,10,2,绿亮[+0.06]-红暗[-0.05]-红亮[-0.06]-红亮[-0.03]-绿亮[+0.01]-红亮[-0.01],高-高-高-高-高-高,否,3.57,-26.79,15.01,14.81,18.47
2024-12-02,002933,新兴装备,37.83,10.0,12,0,红暗[-0.03]-红暗[-0.29]-红暗[-0.63]-红暗[-0.77]-红亮[-1.01]-红亮[-0.82],低-低-低-低-低-高,否,3.39,109.42,42.48,41.3,21.44
2024-12-02,600156,华升股份,6.0,10.09,17,3,绿亮[+0.26]-绿亮[+0.20]-绿亮[+0.05]-红暗[-0.03]-红暗[-0.08]-红暗[-0.15],低-低-低-低-高-高,否,1.89,-161.29,33.21,33.21,71.37
2024-12-02,600232,金鹰股份,5.83,0.69,10,6,绿亮[+0.18]-绿亮[+0.16]-绿亮[+0.15]-绿亮[+0.14]-绿亮[+0.12]-绿暗[+0.08],低-低-低-低-高-高,否,3.9,256.94,28.85,28.85,54.19
2024-12-02,600527,江南高纤,2.47,9.78,6,2,绿亮[+0.03]-绿亮[+0.00]-红亮[-0.04]-红亮[-0.04]-红亮[-0.04]-红亮[-0.00],低-低-低-低-低-低,是,2.98,139.9,37.23,37.23,-0.46
2024-12-02,600540,新赛股份,5.16,10.02,15,5,绿亮[+0.07]-绿亮[+0.02]-绿暗[+0.01]-绿亮[+0.02]-绿亮[+0.01]-红亮[-0.01],低-低-低-低-低-高,否,2.42,-42.17,26.57,26.57,15.99
2024-12-02,600589,大位科技,6.02,10.05,9,4,绿亮[+0.18]-绿亮[+0.07]-红暗[-0.02]-红亮[-0.03]-绿亮[+0.01]-绿暗[+0.00],高-高-高-高-高-高,是,2.31,209.63,106.3,105.86,56.33
2024-12-02,600716,凤凰股份,4.2,9.95,10,1,绿亮[+0.01]-红暗[-0.02]-红暗[-0.07]-红亮[-0.08]-红亮[-0.07]-红亮[-0.06],低-低-低-低-高-高,否,0.79,302.87,36.23,36.23,2.38
2024-12-02,601086,国芳集团,5.88,10.11,10,1,绿亮[+0.07]-红暗[-0.02]-红暗[-0.04]-红暗[-0.05]-红暗[-0.05]-红亮[-0.06],低-低-低-低-低-高,否,1.41,83.4,67.73,67.73,75.65
2024-12-02,601566,九牧王,9.06,2.84,10,5,绿亮[+0.22]-绿亮[+0.15]-绿亮[+0.10]-绿亮[+0.07]-红亮[-0.00]-绿暗[+0.00],低-低-低-低-低-高,否,5.65,18.22,75.33,75.33,61.65
2024-12-02,603237,五芳斋,19.73,5.62,25,6,绿亮[+0.61]-绿亮[+0.60]-绿亮[+0.55]-绿亮[+0.45]-绿亮[+0.37]-绿暗[+0.36],低-低-低-低-低-低,否,0.83,14.1,32.87,32.69,-6.87
