日期,代码,名称,现价,涨幅(%),挤压天数,绿色动能,动能情况,突破趋势,是否ATH,换手率(%),市盈率(动),总市值(亿),流通市值(亿),年涨幅(%)
2025-09-01,000603,盛达资源,19.15,9.99,20,6,绿亮[+0.58]-绿亮[+0.49]-绿暗[+0.46]-绿亮[+0.48]-绿亮[+0.33]-绿亮[+0.12],低-高-低-低-低-高,是,8.2,49.66,213.61,206.42,160.39
2025-09-01,000833,粤桂股份,13.83,6.06,20,5,绿亮[+0.36]-绿亮[+0.28]-绿亮[+0.27]-绿亮[+0.25]-绿亮[+0.13]-红暗[-0.01],低-低-低-低-低-高,否,10.28,26.38,156.09,88.29,72.98
2025-09-01,000893,亚钾国际,34.51,1.86,72,3,绿亮[+0.84]-绿亮[+0.50]-绿亮[+0.25]-红暗[-0.11]-红暗[-0.62]-红暗[-0.89],低-低-高-低-低-高,否,0.88,24.39,443.27,389.43,137.95
2025-09-01,000975,山金国际,20.87,6.32,9,3,绿亮[+0.28]-绿亮[+0.15]-绿亮[+0.09]-红暗[-0.01]-红暗[-0.16]-红暗[-0.30],低-低-低-低-低-低,否,1.14,20.6,675.58,614.92,62.09
2025-09-01,002222,福晶科技,47.61,2.99,8,6,绿亮[+2.36]-绿亮[+2.26]-绿暗[+2.03]-绿暗[+2.34]-绿暗[+2.47]-绿亮[+2.66],高-高-高-高-高-高,否,2.72,91.16,264.94,263.76,74.97
2025-09-01,002384,东山精密,68.82,4.24,17,2,绿亮[+2.54]-绿亮[+0.48]-红暗[-1.32]-红暗[-1.93]-红暗[-2.84]-红亮[-3.53],低-低-低-低-低-高,否,2.44,95.06,1550.46,1173.52,190.59
2025-09-01,003043,华亚智能,51.9,3.99,12,6,绿亮[+1.60]-绿亮[+1.38]-绿亮[+1.26]-绿暗[+1.03]-绿暗[+1.18]-绿暗[+1.38],高-高-高-高-高-高,否,1.92,94.84,62.06,38.87,57.94
2025-09-01,600088,中视传媒,19.12,4.31,12,6,绿亮[+0.53]-绿亮[+0.47]-绿亮[+0.45]-绿亮[+0.40]-绿亮[+0.27]-绿亮[+0.23],高-高-高-高-高-高,否,1.02,-453.0,64.35,64.35,-9.25
2025-09-01,600196,复星医药,30.68,6.38,18,6,绿亮[+1.08]-绿亮[+1.00]-绿亮[+0.97]-绿亮[+0.86]-绿亮[+0.80]-绿暗[+0.63],高-高-高-高-高-高,否,0.49,21.03,707.4,561.19,7.99
2025-09-01,600276,恒瑞医药,68.35,3.2,8,6,绿亮[+1.76]-绿暗[+1.41]-绿暗[+1.50]-绿亮[+1.55]-绿亮[+1.18]-绿暗[+0.73],低-高-低-低-低-高,否,0.42,51.56,3953.78,3799.97,30.35
2025-09-01,600521,华海药业,26.59,10.01,26,3,绿亮[+0.87]-绿亮[+0.39]-绿亮[+0.18]-红暗[-0.06]-红暗[-0.41]-红暗[-0.77],低-低-低-低-低-低,是,0.9,50.1,254.08,254.08,-3.69
2025-09-01,600531,豫光金铅,9.91,9.99,12,6,绿亮[+0.20]-绿亮[+0.19]-绿暗[+0.18]-绿亮[+0.20]-绿亮[+0.17]-绿亮[+0.13],高-高-高-高-高-高,是,6.93,17.17,142.09,142.09,89.52
2025-09-01,600596,新安股份,11.34,6.98,12,4,绿亮[+0.24]-绿亮[+0.19]-绿亮[+0.15]-绿亮[+0.09]-红暗[-0.06]-红暗[-0.12],低-低-低-低-低-低,否,1.53,162.66,154.8,154.8,32.14
2025-09-01,600641,先导基电,16.09,3.21,13,6,绿亮[+0.48]-绿亮[+0.47]-绿亮[+0.36]-绿亮[+0.31]-绿亮[+0.20]-绿亮[+0.17],高-低-高-高-高-高,否,2.9,659.56,164.16,164.16,20.99
2025-09-01,600706,曲江文旅,11.4,3.45,30,6,绿亮[+0.38]-绿亮[+0.30]-绿亮[+0.24]-绿亮[+0.20]-绿亮[+0.10]-绿亮[+0.01],低-低-低-低-低-低,否,6.27,-81.63,27.04,26.93,10.42
2025-09-01,600833,第一医药,14.59,10.03,38,2,红暗[-0.01]-红亮[-0.05]-绿亮[+0.01]-绿亮[+0.01]-红暗[-0.03]-红亮[-0.08],低-低-低-低-低-低,否,1.61,40.61,28.85,28.85,-2.64
2025-09-01,600928,西安银行,4.23,1.2,16,5,绿亮[+0.06]-绿暗[+0.01]-绿暗[+0.01]-绿亮[+0.02]-绿亮[+0.01]-红暗[-0.01],低-低-低-低-低-低,否,0.43,6.07,164.44,163.66,5.41
2025-09-01,601069,西部黄金,21.91,9.99,40,0,红暗[-0.43]-红亮[-0.54]-红亮[-0.49]-红暗[-0.45]-红暗[-0.50]-红亮[-0.55],低-低-低-低-低-低,否,1.8,61.56,243.05,236.7,134.04
2025-09-01,603217,元利科技,20.7,3.66,23,4,绿亮[+0.32]-绿亮[+0.15]-绿亮[+0.09]-绿亮[+0.07]-红暗[-0.03]-红暗[-0.13],低-低-低-低-低-高,否,1.15,26.23,53.31,53.31,60.83
2025-09-01,603259,药明康德,111.22,8.02,9,1,绿亮[+0.89]-红暗[-0.48]-红暗[-0.78]-红暗[-1.13]-红暗[-1.62]-红亮[-2.16],低-低-低-低-低-高,否,1.69,16.8,2704.48,2241.78,69.87
