代码,名称,得分,突破趋势,当前价,涨幅%,MA200,前阻力位,突破力度%,BB值,BB中文,信号
002428,云南锗业,3,低-低-低,30.92,4.88,22.99,30.7,0.72,1.51,强多,买入
605117,德业股份,3,低-低-低,88.71,0.81,64.1,88.7,0.01,3.79,强多,买入
