日期,代码,名称,当前价,连续亮红天数,今日深红值,形态描述,换手率(%),市盈率(动),总市值(亿),流通市值(亿),年涨幅(%)
2025-06-24,000006,深振业Ａ,6.8,7,-0.2482,检测到连续 7 天亮红挤压增长后，首日转深红,1.96,-1420.98,132.57,132.57,34.15
2025-06-24,000509,华塑控股,3.28,8,-0.1145,检测到连续 8 天亮红挤压增长后，首日转深红,1.96,-276.02,36.27,36.27,1.5
2025-06-24,000545,金浦钛业,2.53,5,-0.2328,检测到连续 5 天亮红挤压增长后，首日转深红,2.79,-9.19,28.52,28.48,32.57
2025-06-24,000550,江铃汽车,19.63,10,-1.2621,检测到连续 10 天亮红挤压增长后，首日转深红,0.32,16.03,160.13,96.17,-18.43
2025-06-24,000570,苏常柴Ａ,5.75,10,-0.1483,检测到连续 10 天亮红挤压增长后，首日转深红,1.35,66.74,39.59,31.17,10.43
2025-06-24,000572,海马汽车,4.28,7,-0.1105,检测到连续 7 天亮红挤压增长后，首日转深红,27.57,-151.79,150.65,150.43,119.14
2025-06-24,000691,*ST亚太,4.59,8,-0.5417,检测到连续 8 天亮红挤压增长后，首日转深红,3.33,-57.35,29.16,29.16,162.97
2025-06-24,000705,浙江震元,8.35,6,-0.3108,检测到连续 6 天亮红挤压增长后，首日转深红,2.06,41.75,31.21,26.34,18.98
2025-06-24,000715,中兴商业,5.56,6,-0.1491,检测到连续 6 天亮红挤压增长后，首日转深红,10.25,40.41,36.86,36.76,29.41
2025-06-24,000720,新能泰山,3.44,7,-0.0709,检测到连续 7 天亮红挤压增长后，首日转深红,2.71,-814.68,43.1,43.1,5.54
2025-06-24,000816,智慧农业,3.1,9,-0.0695,检测到连续 9 天亮红挤压增长后，首日转深红,6.01,387.42,52.96,52.57,21.19
2025-06-24,000901,航天科技,11.43,7,-0.4433,检测到连续 7 天亮红挤压增长后，首日转深红,15.35,140.62,177.92,177.92,103.19
2025-06-24,000906,浙商中拓,6.32,6,-0.079,检测到连续 6 天亮红挤压增长后，首日转深红,1.74,16.69,42.3,41.79,-6.88
2025-06-24,000955,欣龙控股,4.55,7,-0.2441,检测到连续 7 天亮红挤压增长后，首日转深红,18.06,11766.87,36.13,36.12,62.08
2025-06-24,001211,双枪科技,22.29,5,-0.4138,检测到连续 5 天亮红挤压增长后，首日转深红,2.81,167.21,18.81,17.51,36.16
2025-06-24,001226,拓山重工,27.89,9,-0.8809,检测到连续 9 天亮红挤压增长后，首日转深红,4.22,145.24,32.0,14.54,59.04
2025-06-24,001260,坤泰股份,18.4,5,-0.2978,检测到连续 5 天亮红挤压增长后，首日转深红,5.21,46.07,22.94,6.33,26.67
2025-06-24,001358,兴欣新材,23.61,6,-0.4375,检测到连续 6 天亮红挤压增长后，首日转深红,0.89,53.02,31.59,13.07,17.72
2025-06-24,001373,翔腾新材,28.99,6,-0.7723,检测到连续 6 天亮红挤压增长后，首日转深红,3.33,-82.2,20.03,9.66,-0.55
2025-06-24,002083,孚日股份,4.78,6,-0.1062,检测到连续 6 天亮红挤压增长后，首日转深红,17.46,26.46,104.41,104.38,132.21
2025-06-24,002121,科陆电子,4.92,6,-0.2725,检测到连续 6 天亮红挤压增长后，首日转深红,2.05,41.64,128.71,108.49,78.16
2025-06-24,002157,正邦科技,2.73,12,-0.0608,检测到连续 12 天亮红挤压增长后，首日转深红,3.09,2937.66,323.76,252.76,19.86
2025-06-24,002193,如意集团,5.89,6,-0.1198,检测到连续 6 天亮红挤压增长后，首日转深红,3.16,-8.88,14.21,14.21,-4.06
2025-06-24,002247,聚力文化,2.64,5,-0.0647,检测到连续 5 天亮红挤压增长后，首日转深红,2.01,43.59,24.51,18.53,12.94
2025-06-24,002302,西部建设,5.73,6,-0.1202,检测到连续 6 天亮红挤压增长后，首日转深红,0.53,-29.29,77.26,77.26,-5.26
