日期,代码,当前价,涨幅(%),得分,突破趋势,EMA200,前高,建议止损价
2025-09-17,000045,12.44,9.99,3,低-低-低,10.83,12.28,10.79
2025-09-17,000415,3.83,2.68,3,低-低-低,3.47,3.75,3.54
2025-09-17,000608,2.1,2.94,2,低-低-高,2.0,1.98,1.96
2025-09-17,000959,4.65,1.97,2,低-低-高,3.53,4.55,4.04
2025-09-17,002059,6.07,9.96,0,高-高-高,5.34,5.3,5.53
2025-09-17,002130,28.09,2.89,1,高-低-高,22.59,26.8,25.2
2025-09-17,002271,12.74,2.58,0,高-高-高,11.05,11.88,11.81
2025-09-17,002337,6.29,0.8,2,低-低-高,5.54,6.15,5.99
2025-09-17,002434,9.67,6.85,2,低-低-高,7.3,8.97,8.59
2025-09-17,002616,7.28,2.82,0,高-高-高,5.62,6.46,6.63
2025-09-17,002664,33.32,7.1,0,高-高-高,18.9,23.18,28.26
2025-09-17,002713,5.12,1.59,2,低-低-高,4.71,5.02,4.74
2025-09-17,002718,23.36,6.23,0,高-高-高,15.09,15.28,19.84
2025-09-17,002870,39.9,2.91,2,低-低-高,33.38,36.95,36.66
2025-09-17,002872,5.28,4.97,1,低-高-高,4.36,4.93,4.77
2025-09-17,002928,9.96,1.63,0,高-高-高,8.01,9.3,9.26
2025-09-17,600082,4.4,0.23,1,高-低-高,3.41,4.27,4.08
2025-09-17,600228,5.52,4.94,3,低-低-低,5.13,5.42,5.06
2025-09-17,600337,2.45,9.87,3,低-低-低,2.01,2.32,2.01
2025-09-17,600635,4.85,6.59,2,低-低-高,3.98,4.39,4.25
2025-09-17,603135,11.98,0.76,2,低-低-高,9.78,11.39,10.95
2025-09-17,603266,26.16,0.46,2,低-低-高,18.69,24.2,24.12
2025-09-17,603416,65.69,0.43,0,高-高-高,51.4,60.81,59.54
2025-09-17,603618,8.35,10.01,2,低-低-高,6.35,7.26,7.68
2025-09-17,603637,13.18,10.02,2,低-低-高,9.83,11.89,11.22
2025-09-17,603667,47.73,2.29,0,高-高-高,36.67,43.05,42.26
2025-09-17,603683,31.0,3.64,0,高-高-高,14.71,16.57,26.99
2025-09-17,603885,13.59,3.03,3,低-低-低,13.14,13.33,12.74
2025-09-17,603906,17.56,2.87,2,低-低-高,12.4,17.04,15.91
