代码,名称,得分,突破趋势,当前价,涨幅%,BB值,MA200,前阻力位,突破力度%,BB中文,信号
600765,中航重机,3,低-低-低,17.89,6.68,0.59,16.47,17.24,3.77,强多,买入
600115,中国东航,2,低-低-高,5.73,0.88,0.18,4.18,5.48,4.56,强多,买入
600814,杭州解百,1,低-高-高,8.5,1.92,0.35,7.79,8.2,3.66,强多,买入
