日期,代码,名称,当前价,涨幅(%),得分,突破趋势,EMA200,前高,建议止损价,换手率(%),市盈率(动),总市值(亿),流通市值(亿),年涨幅(%)
2025-12-24,001322,箭牌家居,9.13,1.44,3,低-低-低,8.4,9.01,8.6,1.01,203.47,88.3,71.73,14.7
2025-12-24,002228,合兴包装,5.95,9.98,0,高-高-高,3.43,3.55,5.0,7.7,33.92,72.2,71.95,110.25
2025-12-24,002909,集泰股份,8.15,9.99,3,低-低-低,6.37,7.51,7.63,2.13,-552.96,31.78,31.0,67.35
2025-12-24,002947,恒铭达,51.98,10.01,3,低-低-低,38.82,51.49,46.84,5.7,24.49,133.18,100.13,58.77
2025-12-24,600183,生益科技,72.6,10.0,3,低-低-低,41.33,71.99,59.24,2.16,54.14,1763.54,1738.41,214.97
2025-12-24,600237,铜峰电子,9.52,3.37,0,高-高-高,7.52,8.2,8.58,16.84,56.35,60.04,59.18,45.34
2025-12-24,600578,京能电力,5.36,4.48,3,低-低-低,4.27,5.16,4.92,2.11,8.49,358.83,358.83,57.65
2025-12-24,600962,国投中鲁,23.43,10.0,3,低-低-低,17.86,22.5,22.06,2.33,161.46,61.44,61.44,78.17
2025-12-24,601212,白银有色,5.89,3.7,1,低-高-高,3.74,5.6,5.34,4.41,-152.23,436.14,436.14,111.87
2025-12-24,603031,安孚科技,49.86,8.16,2,低-低-高,33.14,44.3,41.43,14.73,55.27,128.55,105.26,75.81
2025-12-24,603063,禾望电气,35.02,5.17,1,高-高-低,32.09,33.33,30.4,9.57,35.96,160.3,160.3,76.51
2025-12-24,603091,众鑫股份,85.4,5.59,3,低-低-低,61.42,81.48,76.81,4.27,33.1,87.31,26.32,86.34
2025-12-24,603187,海容冷链,16.05,0.94,2,低-低-高,12.85,15.73,15.07,2.22,15.48,62.02,61.37,50.0
2025-12-24,605007,五洲特纸,12.9,9.97,3,低-低-低,11.79,12.44,11.25,3.67,25.44,61.37,51.8,2.87
