日期,代码,名称,当前价,涨幅(%),EMA200,ADX,建议止损价,换手率(%),市盈率(动),总市值(亿),流通市值(亿),年涨幅(%)
2025-12-24,000488,ST晨鸣,2.2,3.29,2.04,28.12,2.05,2.51,-0.81,64.71,36.99,-27.87
2025-12-24,000985,大庆华科,21.68,9.99,18.29,20.18,17.97,8.64,159.39,28.11,28.11,16.31
2025-12-24,002228,合兴包装,5.95,9.98,3.43,42.35,5.0,7.7,33.92,72.2,71.95,110.25
2025-12-24,002245,蔚蓝锂芯,17.65,6.45,15.4,22.16,15.72,10.05,29.77,203.65,191.53,66.04
2025-12-24,600183,生益科技,72.6,10.0,41.33,25.01,59.24,2.16,54.14,1763.54,1738.41,214.97
2025-12-24,600237,铜峰电子,9.52,3.37,7.52,27.16,8.58,16.84,56.35,60.04,59.18,45.34
2025-12-24,600962,国投中鲁,23.43,10.0,17.86,21.31,22.06,2.33,161.46,61.44,61.44,78.17
2025-12-24,603031,安孚科技,49.86,8.16,33.14,34.7,41.43,14.73,55.27,128.55,105.26,75.81
