日期,代码,名称,当前价,涨幅(%),得分,突破趋势,EMA200,前高,建议止损价,换手率(%),市盈率(动),总市值(亿),流通市值(亿),年涨幅(%)
2025-12-24,000759,中百集团,9.08,1.91,2,低-低-高,7.89,8.59,7.99,33.27,-7.8,60.28,59.67,-30.43
2025-12-24,001322,箭牌家居,9.02,0.22,3,低-低-低,8.4,9.01,8.61,0.66,201.02,87.24,70.86,13.32
2025-12-24,002228,合兴包装,5.95,9.98,0,高-高-高,3.43,3.55,5.0,7.68,33.92,72.2,71.95,110.25
2025-12-24,002909,集泰股份,8.15,9.99,3,低-低-低,6.37,7.51,7.63,2.09,-552.96,31.78,31.0,67.35
2025-12-24,002947,恒铭达,51.98,10.01,3,低-低-低,38.82,51.49,46.84,5.61,24.49,133.18,100.13,58.77
2025-12-24,600183,生益科技,72.6,10.0,3,低-低-低,41.33,71.99,59.24,2.14,54.14,1763.54,1738.41,214.97
2025-12-24,600237,铜峰电子,9.48,2.93,0,高-高-高,7.52,8.2,8.58,15.11,56.12,59.79,58.93,44.73
2025-12-24,600578,京能电力,5.34,4.09,3,低-低-低,4.27,5.16,4.92,1.93,8.44,356.82,356.82,56.76
2025-12-24,600962,国投中鲁,23.43,10.0,3,低-低-低,17.86,22.5,22.06,2.27,161.46,61.44,61.44,78.17
2025-12-24,601212,白银有色,5.83,2.64,1,低-高-高,3.74,5.6,5.34,3.74,-150.94,432.44,432.44,110.07
2025-12-24,603031,安孚科技,50.55,9.65,2,低-低-高,33.14,44.3,41.43,13.88,56.22,130.74,107.06,78.81
2025-12-24,603063,禾望电气,35.05,5.26,1,高-高-低,32.09,33.33,30.4,8.85,35.98,160.39,160.39,76.61
2025-12-24,603091,众鑫股份,84.88,4.95,3,低-低-低,61.41,81.48,76.81,4.01,33.0,87.04,26.23,85.75
2025-12-24,603187,海容冷链,16.07,1.07,2,低-低-高,12.85,15.73,15.07,1.95,15.47,61.98,61.33,49.91
2025-12-24,605007,五洲特纸,12.9,9.97,3,低-低-低,11.79,12.44,11.25,3.53,25.44,61.37,51.8,2.87
