日期,代码,名称,当前价,连续亮红天数,今日深红值,形态描述,换手率(%),市盈率(动),总市值(亿),流通市值(亿),年涨幅(%)
2025-12-24,000058,深 赛 格,9.19,5,-0.2751,检测到连续 5 天亮红挤压增长后，首日转深红,1.9,91.36,113.15,90.5,14.59
2025-12-24,002587,奥拓电子,6.67,6,-0.1342,检测到连续 6 天亮红挤压增长后，首日转深红,2.99,205.77,43.46,35.12,11.54
2025-12-24,002831,裕同科技,29.04,9,-1.2121,检测到连续 9 天亮红挤压增长后，首日转深红,0.83,16.98,267.32,148.39,11.31
2025-12-24,002848,*ST高斯,8.18,6,-0.336,检测到连续 6 天亮红挤压增长后，首日转深红,3.97,-24.4,13.67,13.49,7.92
2025-12-24,600281,华阳新材,6.37,5,-0.1374,检测到连续 5 天亮红挤压增长后，首日转深红,7.13,35.68,32.77,32.77,94.8
2025-12-24,600418,江淮汽车,48.85,6,-1.2542,检测到连续 6 天亮红挤压增长后，首日转深红,2.57,-55.79,1066.89,1066.89,30.27
2025-12-24,600619,海立股份,21.02,6,-1.0586,检测到连续 6 天亮红挤压增长后，首日转深红,5.52,305.81,225.62,165.88,72.44
2025-12-24,600895,张江高科,40.53,5,-1.5339,检测到连续 5 天亮红挤压增长后，首日转深红,3.98,76.35,627.68,627.68,52.48
2025-12-24,601116,三江购物,14.65,9,-1.6293,检测到连续 9 天亮红挤压增长后，首日转深红,3.76,52.56,80.23,80.23,37.17
2025-12-24,603017,中衡设计,10.34,6,-1.0262,检测到连续 6 天亮红挤压增长后，首日转深红,3.47,38.07,28.56,28.56,32.06
2025-12-24,603551,奥普科技,12.05,5,-0.1879,检测到连续 5 天亮红挤压增长后，首日转深红,0.98,19.12,47.01,46.39,22.34
