日期,代码,名称,现价,涨幅(%),挤压天数,绿色动能,动能情况,突破趋势,是否放量,是否ATH,换手率(%),市盈率(动),总市值(亿),流通市值(亿),年涨幅(%)
2026-01-09,000050,深天马Ａ,10.25,7.11,18,3,红亮[-0.19]-红暗[-0.15]-红暗[-0.11]-绿亮[+0.00]-绿亮[+0.08]-绿亮[+0.18],低-低-低-低-低-低,是,否,6.1,60.34,251.92,251.92,13.51
2026-01-09,000576,甘化科工,11.16,2.1,28,6,绿亮[+0.08]-绿亮[+0.11]-绿亮[+0.15]-绿亮[+0.23]-绿亮[+0.31]-绿亮[+0.41],低-低-低-低-低-高,是,否,4.42,47.11,48.7,48.41,5.98
2026-01-09,000595,*ST宝实,6.31,3.95,28,6,绿亮[+0.11]-绿暗[+0.10]-绿暗[+0.07]-绿暗[+0.07]-绿亮[+0.11]-绿亮[+0.16],低-低-低-低-低-低,否,否,2.34,45.73,71.85,71.85,12.88
2026-01-09,000682,东方电子,12.59,1.37,19,6,绿暗[+0.23]-绿暗[+0.17]-绿暗[+0.15]-绿暗[+0.15]-绿暗[+0.14]-绿亮[+0.19],低-低-低-低-低-高,否,否,2.01,25.57,168.8,168.78,6.16
2026-01-09,000935,四川双马,27.6,1.25,6,6,绿暗[+1.09]-绿暗[+0.80]-绿暗[+0.64]-绿暗[+0.55]-绿亮[+0.70]-绿亮[+0.83],高-高-高-高-高-高,否,否,1.2,53.84,210.71,210.71,11.11
2026-01-09,002106,莱宝高科,11.2,0.36,13,6,绿亮[+0.13]-绿亮[+0.13]-绿亮[+0.15]-绿亮[+0.20]-绿亮[+0.24]-绿亮[+0.29],低-低-低-高-低-高,否,否,1.71,25.53,79.05,78.86,2.19
2026-01-09,002194,武汉凡谷,13.99,1.67,20,6,绿亮[+0.27]-绿暗[+0.27]-绿亮[+0.28]-绿亮[+0.35]-绿亮[+0.45]-绿亮[+0.57],低-低-低-低-低-高,是,否,10.5,-700.25,95.59,71.47,7.2
2026-01-09,002237,恒邦股份,14.24,2.59,20,6,绿亮[+0.37]-绿亮[+0.37]-绿亮[+0.41]-绿亮[+0.53]-绿亮[+0.59]-绿亮[+0.59],低-低-低-高-低-低,否,否,3.89,27.2,203.63,169.79,6.11
2026-01-09,002271,东方雨虹,14.64,0.34,50,6,绿暗[+0.42]-绿暗[+0.41]-绿亮[+0.46]-绿亮[+0.54]-绿暗[+0.54]-绿亮[+0.61],低-低-高-高-高-高,否,否,1.95,32.39,349.71,280.35,7.73
2026-01-09,002335,科华数据,66.4,8.13,35,5,绿暗[+0.26]-红亮[-0.01]-绿亮[+0.12]-绿亮[+0.44]-绿亮[+1.29]-绿亮[+2.21],低-低-低-低-高-高,否,否,12.05,74.51,342.23,301.9,19.58
2026-01-09,002389,航天彩虹,27.41,6.61,65,6,绿亮[+0.50]-绿暗[+0.48]-绿亮[+0.49]-绿亮[+0.60]-绿亮[+0.65]-绿亮[+0.89],高-高-高-高-高-高,是,否,14.11,3340.06,269.97,269.92,14.3
2026-01-09,002582,好想你,12.68,6.02,30,6,绿亮[+0.39]-绿亮[+0.46]-绿亮[+0.53]-绿亮[+0.65]-绿暗[+0.60]-绿亮[+0.69],低-低-高-高-高-高,否,否,15.49,-904.2,56.77,43.65,14.75
2026-01-09,002777,久远银海,20.31,10.02,6,3,红暗[-0.48]-红暗[-0.31]-红暗[-0.10]-绿亮[+0.12]-绿亮[+0.29]-绿亮[+0.47],低-低-低-低-低-低,是,否,10.61,145.33,82.91,82.16,13.21
2026-01-09,002912,中新赛克,33.6,6.97,18,6,绿亮[+0.24]-绿亮[+0.38]-绿亮[+0.54]-绿亮[+0.77]-绿亮[+1.00]-绿亮[+1.24],低-低-低-低-低-高,是,否,6.61,-404.77,57.37,54.51,11.48
2026-01-09,600969,郴电国际,10.5,0.38,7,6,绿暗[+0.31]-绿亮[+0.34]-绿亮[+0.34]-绿亮[+0.36]-绿亮[+0.41]-绿亮[+0.42],高-高-高-高-高-高,否,否,2.72,35.99,38.86,38.86,2.64
2026-01-09,603067,振华股份,35.1,10.0,29,6,绿暗[+1.93]-绿暗[+1.64]-绿亮[+1.70]-绿亮[+2.29]-绿亮[+2.56]-绿亮[+2.58],低-低-低-低-低-低,否,是,4.93,45.68,249.48,249.48,21.83
2026-01-09,603108,润达医疗,17.94,9.99,33,3,红亮[-0.22]-红暗[-0.21]-红暗[-0.07]-绿亮[+0.05]-绿亮[+0.13]-绿亮[+0.37],低-低-低-低-低-低,是,否,14.02,-49.93,108.3,108.3,20.0
2026-01-09,603110,东方材料,17.76,0.62,18,1,红亮[-0.19]-红亮[-0.25]-红亮[-0.30]-红亮[-0.32]-红暗[-0.24]-绿亮[+0.02],低-低-低-低-低-高,否,否,8.1,839.57,35.74,35.74,10.59
2026-01-09,603499,翔港科技,22.16,1.33,9,6,绿亮[+0.24]-绿亮[+0.46]-绿亮[+0.71]-绿亮[+0.82]-绿亮[+0.92]-绿亮[+1.18],低-低-低-低-低-高,否,否,3.28,52.68,67.05,67.05,8.41
2026-01-09,603629,利通电子,29.09,2.86,21,3,绿暗[+0.11]-红亮[-0.04]-红暗[-0.03]-红暗[-0.01]-绿亮[+0.10]-绿亮[+0.30],低-低-低-低-低-低,否,否,6.03,26.51,76.33,74.59,9.16
2026-01-09,603700,宁水集团,13.72,0.81,31,6,绿亮[+0.23]-绿亮[+0.32]-绿亮[+0.40]-绿亮[+0.44]-绿亮[+0.45]-绿亮[+0.51],低-高-高-高-高-高,否,否,2.08,27.3,27.43,27.43,0.96
