代码,名称,得分,突破趋势,当前价,涨幅%,BB值,MA200,前阻力位,突破力度%,BB中文,信号
600234,科新发展,3,低-低-低,13.81,10.04,0.05,8.66,13.57,1.77,强多,买入
002796,世嘉科技,3,低-低-低,22.89,10.0,2.07,14.49,22.45,1.96,强多,买入
002837,英维克,3,低-低-低,92.95,10.0,8.65,48.62,89.99,3.29,强多,买入
601688,华泰证券,3,低-低-低,23.86,6.9,1.15,19.03,23.65,0.89,强多,买入
601156,东航物流,3,低-低-低,17.51,2.46,0.36,14.38,17.35,0.92,强多,买入
601366,利群股份,2,低-低-高,5.49,10.02,0.1,4.65,4.96,10.69,强多,买入
600271,航天信息,2,低-低-高,10.74,0.85,0.66,8.9,9.89,8.59,强多,买入
600336,澳柯玛,0,高-高-高,9.38,6.71,0.61,7.06,7.96,17.84,强多,买入
