日期,回测,代码,当前价,涨幅(%),综合得分,信号强度,动能衰减,资金承接,结构间隔,破位幅度,左波峰,右波峰
2025-12-01,,002094,7.38,0.27,50,谨慎做多,【1.2–1.5】1.25 → 下跌开始衰竭,【≥2.0】3.8 → 强力吸筹,【>25】74 → 结构偏老,【>5%】15.4% → 深度破位（风险）,"{'日期': '2025-08-08', '价格': 8.57, '动能值': -0.8116, 'obv': 1801023984}","{'日期': '2025-11-28', '价格': 7.25, '动能值': -0.6517, 'obv': 1955988457}"
2025-12-01,,002110,4.6,5.26,50,谨慎做多,【1.2–1.5】1.24 → 下跌开始衰竭,【0.5–2.0】0.84 → 资金承接,【>25】63 → 结构偏老,【2–5%】4.56% → 正常破位,"{'日期': '2025-08-25', '价格': 4.39, '动能值': -0.3842, 'obv': 296291772}","{'日期': '2025-11-28', '价格': 4.19, '动能值': -0.3106, 'obv': 323338553}"
2025-12-01,,002124,2.79,2.95,70,谨慎做多,【≥2.0】2.1 → 恐慌充分释放,【0.5–2.0】1.95 → 资金承接,【>25】30 → 结构偏老,【2–5%】4.27% → 正常破位,"{'日期': '2025-10-17', '价格': 2.81, '动能值': -0.2224, 'obv': 853548415}","{'日期': '2025-11-28', '价格': 2.69, '动能值': -0.1058, 'obv': 931972974}"
2025-12-01,y,002139,13.43,4.27,40,谨慎做多,【≥2.0】2.94 → 恐慌充分释放,【<-0.5】-1.4 → 资金流出,【>25】26 → 结构偏老,【>5%】7.75% → 深度破位（风险）,"{'日期': '2025-10-23', '价格': 13.8, '动能值': -1.5253, 'obv': 1692589721}","{'日期': '2025-11-28', '价格': 12.73, '动能值': -0.5184, 'obv': 1667821019}"
2025-12-01,,002152,12.46,1.05,90,强烈做多,【≥2.0】2.84 → 恐慌充分释放,【≥2.0】5.32 → 强力吸筹,【>25】26 → 结构偏老,【2–5%】2.1% → 正常破位,"{'日期': '2025-10-23', '价格': 12.41, '动能值': -1.0472, 'obv': 1529469682}","{'日期': '2025-11-28', '价格': 12.15, '动能值': -0.3681, 'obv': 1632941500}"
2025-12-01,y,002182,13.77,3.22,50,谨慎做多,【1.5–2.0】1.81 → 下跌明显衰竭,【<-0.5】-2.34 → 资金流出,【15–25】25 → 结构健康（理想）,【>5%】5.49% → 深度破位（风险）,"{'日期': '2025-10-24', '价格': 13.84, '动能值': -1.4687, 'obv': 543146254}","{'日期': '2025-11-28', '价格': 13.08, '动能值': -0.813, 'obv': 495344176}"
2025-12-01,y,002272,14.28,0.99,40,谨慎做多,【1.5–2.0】1.5 → 下跌明显衰竭,【<-0.5】-6.36 → 资金流出,【15–25】25 → 结构健康（理想）,【>5%】12.18% → 深度破位（风险）,"{'日期': '2025-10-24', '价格': 15.77, '动能值': -2.1084, 'obv': 3842526023}","{'日期': '2025-11-28', '价格': 13.85, '动能值': -1.4026, 'obv': 3676457912}"
2025-12-01,y,002296,10.74,0.85,50,谨慎做多,【1.5–2.0】1.64 → 下跌明显衰竭,【0.5–2.0】0.54 → 资金承接,【>25】48 → 结构偏老,【>5%】6.68% → 深度破位（风险）,"{'日期': '2025-09-15', '价格': 11.22, '动能值': -0.6343, 'obv': 1026057100}","{'日期': '2025-11-28', '价格': 10.47, '动能值': -0.3861, 'obv': 1030540354}"
2025-12-01,,002334,8.52,1.19,40,谨慎做多,【1.2–1.5】1.21 → 下跌开始衰竭,【-0.5–0.5】-0.26 → 资金观望,【15–25】21 → 结构健康（理想）,【>5%】7.03% → 深度破位（风险）,"{'日期': '2025-10-30', '价格': 8.96, '动能值': -0.5961, 'obv': 972689893}","{'日期': '2025-11-28', '价格': 8.33, '动能值': -0.4946, 'obv': 967332043}"
2025-12-01,,002530,10.17,0.69,60,谨慎做多,【1.5–2.0】1.99 → 下跌明显衰竭,【0.5–2.0】0.77 → 资金承接,【>25】28 → 结构偏老,【>5%】5.59% → 深度破位（风险）,"{'日期': '2025-10-21', '价格': 10.56, '动能值': -1.5843, 'obv': 2235818867}","{'日期': '2025-11-28', '价格': 9.97, '动能值': -0.7955, 'obv': 2255008730}"
