日期,回测,代码,当前价,涨幅(%),综合得分,信号强度,动能衰减,资金承接,结构间隔,破位幅度,左波峰,右波峰
2025-12-01,,603202,92.75,0.75,50,谨慎做多,【1.5–2.0】1.52 → 下跌明显衰竭,【0.5–2.0】0.99 → 资金承接,【>25】48 → 结构偏老,【>5%】7.67% → 深度破位（风险）,"{'日期': '2025-09-15', '价格': 98.72, '动能值': -3.9244, 'obv': -6666410}","{'日期': '2025-11-28', '价格': 91.15, '动能值': -2.5794, 'obv': -5709106}"
2025-12-01,,603214,17.47,0.98,20,谨慎做多,【1.2–1.5】1.37 → 下跌开始衰竭,【<-0.5】-6.19 → 资金流出,【>25】65 → 结构偏老,【>5%】13.05% → 深度破位（风险）,"{'日期': '2025-08-21', '价格': 19.61, '动能值': -1.0057, 'obv': 461056611}","{'日期': '2025-11-28', '价格': 17.05, '动能值': -0.7318, 'obv': 437521188}"
2025-12-01,,603211,17.53,2.16,50,谨慎做多,【1.2–1.5】1.38 → 下跌开始衰竭,【0.5–2.0】0.51 → 资金承接,【>25】28 → 结构偏老,【2–5%】3.21% → 正常破位,"{'日期': '2025-10-21', '价格': 17.44, '动能值': -1.2442, 'obv': 467478117}","{'日期': '2025-11-28', '价格': 16.88, '动能值': -0.9015, 'obv': 468575068}"
2025-12-01,,603220,22.83,2.06,70,谨慎做多,【1.5–2.0】1.64 → 下跌明显衰竭,【-0.5–0.5】-0.41 → 资金观望,【15–25】22 → 结构健康（理想）,【2–5%】2.48% → 正常破位,"{'日期': '2025-10-29', '价格': 22.62, '动能值': -2.1196, 'obv': 1089143509}","{'日期': '2025-11-28', '价格': 22.06, '动能值': -1.2945, 'obv': 1084856921}"
2025-12-01,,603266,20.18,0.9,50,谨慎做多,【≥2.0】3.61 → 恐慌充分释放,【<-0.5】-1.57 → 资金流出,【15–25】22 → 结构健康（理想）,【>5%】8.86% → 深度破位（风险）,"{'日期': '2025-10-29', '价格': 21.67, '动能值': -3.7236, 'obv': 430683952}","{'日期': '2025-11-28', '价格': 19.75, '动能值': -1.0305, 'obv': 424748277}"
2025-12-01,,603275,42.0,1.18,40,谨慎做多,【≥2.0】2.36 → 恐慌充分释放,【<-0.5】-3.34 → 资金流出,【>25】26 → 结构偏老,【>5%】8.82% → 深度破位（风险）,"{'日期': '2025-10-23', '价格': 44.66, '动能值': -8.983, 'obv': 47923051}","{'日期': '2025-11-28', '价格': 40.72, '动能值': -3.8038, 'obv': 43357711}"
2025-12-01,,603350,38.19,2.88,70,谨慎做多,【≥2.0】2.1 → 恐慌充分释放,【-0.5–0.5】-0.3 → 资金观望,【>25】29 → 结构偏老,【2–5%】2.11% → 正常破位,"{'日期': '2025-10-20', '价格': 37.5, '动能值': -4.6122, 'obv': 68073790}","{'日期': '2025-11-28', '价格': 36.71, '动能值': -2.1933, 'obv': 67640243}"
2025-12-01,,603369,37.97,0.48,70,谨慎做多,【1.2–1.5】1.44 → 下跌开始衰竭,【0.5–2.0】1.3 → 资金承接,【15–25】15 → 结构健康（理想）,【0–2%】0.71% → 诱空假破位,"{'日期': '2025-11-07', '价格': 37.77, '动能值': -0.7002, 'obv': -88868296}","{'日期': '2025-11-28', '价格': 37.5, '动能值': -0.4846, 'obv': -80680406}"
2025-12-01,,603535,10.89,1.97,40,谨慎做多,【1.5–2.0】1.78 → 下跌明显衰竭,【<-0.5】-5.19 → 资金流出,【>25】29 → 结构偏老,【2–5%】3.95% → 正常破位,"{'日期': '2025-10-20', '价格': 10.64, '动能值': -1.04, 'obv': 373251447}","{'日期': '2025-11-28', '价格': 10.22, '动能值': -0.5849, 'obv': 328575981}"
2025-12-01,,603718,6.86,1.03,30,谨慎做多,【1.2–1.5】1.39 → 下跌开始衰竭,【<-0.5】-7.64 → 资金流出,【>25】59 → 结构偏老,【2–5%】4.93% → 正常破位,"{'日期': '2025-08-29', '价格': 7.1, '动能值': -0.2466, 'obv': 182545632}","{'日期': '2025-11-28', '价格': 6.75, '动能值': -0.1773, 'obv': 126311489}"
2025-12-01,,603955,30.78,0.62,20,谨慎做多,【1.2–1.5】1.42 → 下跌开始衰竭,【<-0.5】-9.47 → 资金流出,【>25】51 → 结构偏老,【>5%】18.92% → 深度破位（风险）,"{'日期': '2025-09-10', '价格': 37.1, '动能值': -3.718, 'obv': 329807305}","{'日期': '2025-11-28', '价格': 30.08, '动能值': -2.6272, 'obv': 307874526}"
2025-12-01,,605018,11.28,0.8,40,谨慎做多,【1.2–1.5】1.33 → 下跌开始衰竭,【<-0.5】-1.49 → 资金流出,【>25】28 → 结构偏老,【2–5%】2.4% → 正常破位,"{'日期': '2025-10-21', '价格': 11.25, '动能值': -0.6642, 'obv': 254784785}","{'日期': '2025-11-28', '价格': 10.98, '动能值': -0.4998, 'obv': 251210795}"
2025-12-01,,605050,13.47,0.75,80,强烈做多,【≥2.0】5.37 → 恐慌充分释放,【≥2.0】3.4 → 强力吸筹,【>25】29 → 结构偏老,【2–5%】3.51% → 正常破位,"{'日期': '2025-10-20', '价格': 13.68, '动能值': -5.4971, 'obv': 44672016}","{'日期': '2025-11-28', '价格': 13.2, '动能值': -1.0238, 'obv': 79001891}"
2025-12-01,,605218,19.89,1.48,70,谨慎做多,【1.5–2.0】1.82 → 下跌明显衰竭,【≥2.0】3.0 → 强力吸筹,【>25】29 → 结构偏老,【2–5%】3.06% → 正常破位,"{'日期': '2025-10-20', '价格': 19.94, '动能值': -1.6722, 'obv': 268218049}","{'日期': '2025-11-28', '价格': 19.33, '动能值': -0.9205, 'obv': 274558548}"
2025-12-01,,605296,28.19,-0.49,20,谨慎做多,【1.2–1.5】1.34 → 下跌开始衰竭,【<-0.5】-6.14 → 资金流出,【>25】34 → 结构偏老,【>5%】6.96% → 深度破位（风险）,"{'日期': '2025-10-13', '价格': 30.03, '动能值': -2.018, 'obv': 115281806}","{'日期': '2025-11-28', '价格': 27.94, '动能值': -1.5049, 'obv': 101248149}"
2025-12-01,,605319,20.7,1.47,50,谨慎做多,【≥2.0】3.04 → 恐慌充分释放,【<-0.5】-0.95 → 资金流出,【15–25】22 → 结构健康（理想）,【>5%】8.41% → 深度破位（风险）,"{'日期': '2025-10-29', '价格': 22.0, '动能值': -2.8247, 'obv': 86550980}","{'日期': '2025-11-28', '价格': 20.15, '动能值': -0.9293, 'obv': 82750626}"
2025-12-01,,605378,23.5,0.86,90,强烈做多,【1.5–2.0】1.6 → 下跌明显衰竭,【≥2.0】3.27 → 强力吸筹,【15–25】25 → 结构健康（理想）,【2–5%】2.43% → 正常破位,"{'日期': '2025-10-24', '价格': 23.5, '动能值': -4.0055, 'obv': 433635767}","{'日期': '2025-11-28', '价格': 22.93, '动能值': -2.4973, 'obv': 469328997}"
