日期,代码,名称,现价,涨幅(%),连续挤压天数,前6日,前5日,前4日,前3日,前2日,前1日,前6天突趋势,最近是否ATH,换手率(%),市盈率(动),总市值(亿),流通市值(亿),年涨幅(%)
2025-11-03,000608,*ST阳光,2.2,2.8,17,绿亮[+0.07],绿亮[+0.04],绿亮[+0.03],绿亮[+0.03],绿亮[+0.01],红暗[-0.01],低-低-低-低-低-低,否,2.0,-20.53,19.72,19.6,16.89
2025-11-03,000892,欢瑞世纪,7.85,9.94,8,绿亮[+0.17],红暗[-0.00],红暗[-0.03],红暗[-0.05],红暗[-0.12],红暗[-0.13],低-低-低-低-低-高,是,10.38,-146.59,68.47,49.62,114.11
2025-11-03,001266,宏英智能,33.65,10.0,7,绿亮[+1.38],绿亮[+0.96],绿亮[+0.59],绿亮[+0.32],红暗[-0.23],红暗[-0.70],低-低-低-低-低-低,是,17.52,249.67,40.62,22.71,72.22
2025-11-03,002211,ST宏达,3.96,4.21,29,绿亮[+0.09],绿亮[+0.06],绿亮[+0.02],红暗[-0.01],红暗[-0.03],红暗[-0.07],低-低-低-低-低-低,否,0.74,-97.12,13.8,13.8,-9.89
2025-11-03,002247,聚力文化,3.15,5.7,70,绿亮[+0.16],绿暗[+0.15],绿亮[+0.16],绿亮[+0.14],绿亮[+0.11],绿亮[+0.08],低-低-低-低-低-低,否,2.55,42.53,23.91,18.08,10.2
2025-11-03,002486,嘉麟杰,3.23,6.95,69,绿亮[+0.16],绿亮[+0.14],绿亮[+0.14],绿亮[+0.12],绿亮[+0.09],绿亮[+0.06],低-低-低-低-低-低,否,2.34,36.98,25.64,25.52,26.94
2025-11-03,002492,恒基达鑫,9.35,10.0,22,绿亮[+0.11],绿亮[+0.03],绿亮[+0.01],红暗[-0.01],红亮[-0.04],红亮[-0.01],低-低-低-低-低-低,是,7.09,50.27,35.4,34.77,82.46
2025-11-03,600288,大恒科技,16.97,6.66,8,绿亮[+0.86],绿亮[+0.74],绿暗[+0.68],绿暗[+0.70],绿亮[+0.76],绿暗[+0.73],高-高-高-高-高-高,否,1.13,71.39,65.43,65.43,75.41
2025-11-03,600300,维维股份,3.62,1.12,10,绿亮[+0.10],绿亮[+0.08],绿暗[+0.07],绿亮[+0.07],绿亮[+0.06],绿亮[+0.05],低-低-低-低-低-低,否,1.56,17.65,56.76,56.76,13.59
2025-11-03,600829,人民同泰,8.99,3.93,12,绿亮[+0.40],绿亮[+0.35],绿亮[+0.30],绿亮[+0.27],绿亮[+0.24],绿亮[+0.20],低-低-低-低-低-低,否,3.01,42.02,62.69,62.69,44.13
2025-11-03,601888,中国中免,76.67,0.79,30,绿亮[+1.52],绿亮[+0.56],红暗[-0.02],红暗[-0.45],红暗[-0.78],红暗[-1.16],低-低-低-低-低-高,否,4.26,48.08,1956.31,1846.26,43.91
2025-11-03,603169,兰石重装,9.58,9.99,7,绿亮[+0.04],绿亮[+0.01],红亮[-0.13],红亮[-0.13],红亮[-0.09],红亮[-0.03],低-低-低-低-高-高,否,3.97,932.78,139.25,139.25,95.6
2025-11-03,603188,亚邦股份,4.84,10.0,27,绿亮[+0.21],绿暗[+0.19],绿暗[+0.20],绿亮[+0.22],绿亮[+0.20],绿亮[+0.18],低-低-低-低-低-低,否,1.73,95.12,26.17,26.17,32.28
2025-11-03,603231,索宝蛋白,20.65,1.77,26,绿亮[+0.68],绿亮[+0.57],绿亮[+0.47],绿亮[+0.39],绿亮[+0.33],绿亮[+0.20],低-低-低-低-低-低,否,1.75,17.93,35.08,19.47,14.0
2025-11-03,603311,金海高科,12.88,6.18,26,绿亮[+0.42],绿亮[+0.37],绿暗[+0.35],绿亮[+0.37],绿亮[+0.37],绿亮[+0.37],低-低-低-低-低-低,否,7.07,35.31,36.04,36.04,54.81
2025-11-03,603580,*ST艾艾,16.15,3.86,25,绿亮[+0.37],绿亮[+0.25],绿亮[+0.20],绿亮[+0.15],绿亮[+0.07],绿暗[+0.01],低-低-低-低-低-高,否,0.71,119.98,21.27,21.27,-6.65
2025-11-03,603681,永冠新材,18.8,3.58,42,绿亮[+0.74],绿亮[+0.64],绿亮[+0.60],绿亮[+0.59],绿亮[+0.55],绿亮[+0.46],高-高-高-高-高-高,否,2.16,24.38,36.28,36.28,48.98
2025-11-03,603978,深圳新星,28.14,5.99,13,绿亮[+0.37],红暗[-0.06],红暗[-0.43],红暗[-0.72],红暗[-0.99],红亮[-1.14],高-高-高-高-高-高,否,7.62,-72.31,59.61,59.61,83.26
2025-11-03,605100,华丰股份,34.79,9.99,7,绿亮[+0.16],红暗[-0.33],红亮[-0.49],红亮[-0.35],红亮[-0.08],绿暗[+0.30],低-低-低-低-低-高,是,3.89,450.99,76.78,76.42,206.34
