日期,代码,名称,现价,涨幅(%),连续挤压天数,前6日,前5日,前4日,前3日,前2日,前1日,前6天突趋势,最近是否ATH,换手率(%),市盈率(动),总市值(亿),流通市值(亿),年涨幅(%)
2025-11-05,000720,新能泰山,3.86,9.97,14,绿亮[+0.14],绿亮[+0.12],绿亮[+0.10],绿亮[+0.10],绿亮[+0.10],绿亮[+0.09],低-低-低-低-低-低,否,1.1,-776.68,41.09,41.09,0.62
2025-11-05,000796,凯撒旅业,7.47,10.01,12,绿亮[+0.38],绿亮[+0.26],绿亮[+0.15],绿亮[+0.02],绿亮[+0.00],红暗[-0.08],低-低-低-低-低-低,是,14.21,-323.43,115.47,95.82,77.78
2025-11-05,001255,博菲电气,39.79,10.01,44,绿亮[+1.11],绿暗[+0.59],绿暗[+0.67],绿亮[+0.74],绿亮[+0.74],绿亮[+0.72],低-低-低-低-低-低,否,2.6,288.24,27.69,22.76,12.98
2025-11-05,002112,三变科技,16.01,10.03,35,绿亮[+0.13],红暗[-0.04],红亮[-0.09],红亮[-0.06],红暗[-0.05],红暗[-0.10],低-低-低-低-低-低,否,3.4,72.85,39.0,34.75,19.14
2025-11-05,002169,智光电气,9.67,8.04,12,绿亮[+0.47],绿亮[+0.37],绿亮[+0.27],绿暗[+0.26],绿亮[+0.30],绿亮[+0.28],高-高-高-高-高-高,否,13.51,-132.48,90.56,87.78,90.61
2025-11-05,002300,太阳电缆,7.24,10.03,84,绿亮[+0.15],绿暗[+0.15],绿暗[+0.16],绿暗[+0.19],绿暗[+0.21],绿亮[+0.21],低-低-低-低-低-低,否,11.54,58.63,66.45,66.45,75.91
2025-11-05,002350,北京科锐,8.47,4.7,13,绿亮[+0.32],绿暗[+0.29],绿暗[+0.29],绿暗[+0.32],绿亮[+0.33],绿亮[+0.32],高-高-高-高-高-高,否,3.04,114.21,44.15,43.19,7.53
2025-11-05,002441,众业达,10.36,1.27,44,绿亮[+0.49],绿亮[+0.40],绿亮[+0.33],绿亮[+0.29],绿亮[+0.27],绿亮[+0.24],低-低-低-低-高-高,否,1.51,21.22,51.19,37.51,29.12
2025-11-05,002639,雪人集团,13.7,10.04,26,绿亮[+0.29],绿亮[+0.13],绿亮[+0.11],绿亮[+0.11],绿亮[+0.10],绿亮[+0.04],低-低-低-低-低-高,否,27.76,275.19,143.7,121.02,171.53
2025-11-05,002782,可立克,21.58,9.99,39,绿亮[+1.11],绿亮[+0.95],绿亮[+0.85],绿亮[+0.80],绿亮[+0.61],绿亮[+0.28],低-高-高-低-高-高,是,1.84,29.08,90.07,88.35,45.28
2025-11-05,002853,皮阿诺,13.41,0.6,36,绿亮[+0.74],绿亮[+0.60],绿亮[+0.50],绿亮[+0.38],绿暗[+0.29],绿亮[+0.30],低-低-低-高-高-高,否,8.92,-382.11,38.34,26.98,91.07
2025-11-05,002922,伊戈尔,29.61,9.99,33,绿亮[+1.82],绿亮[+1.68],绿亮[+1.35],绿亮[+1.18],绿亮[+0.92],绿暗[+0.81],低-低-高-高-高-高,否,4.06,54.58,129.59,114.46,74.77
2025-11-05,002947,恒铭达,51.05,1.47,14,绿亮[+1.48],绿亮[+0.63],红暗[-0.14],红暗[-1.07],红暗[-1.65],红暗[-2.00],低-低-低-低-低-高,否,3.46,24.51,133.28,100.21,58.89
2025-11-05,600370,三房巷,2.35,3.98,73,绿亮[+0.12],绿亮[+0.11],绿暗[+0.09],绿亮[+0.09],绿亮[+0.08],绿亮[+0.07],高-高-高-高-高-高,否,1.15,-14.15,88.06,88.06,22.83
2025-11-05,600550,保变电气,9.91,9.99,25,绿亮[+0.08],绿亮[+0.03],红亮[-0.02],绿暗[+0.01],绿亮[+0.03],绿暗[+0.01],低-低-低-低-低-低,否,4.91,99.85,194.28,194.28,34.39
2025-11-05,600756,浪潮软件,19.46,10.01,26,绿亮[+0.89],绿亮[+0.78],绿亮[+0.74],绿亮[+0.63],绿暗[+0.60],绿暗[+0.69],低-低-低-低-低-高,否,14.68,-22.89,64.4,59.7,28.54
2025-11-05,601107,四川成渝,6.24,1.96,6,绿亮[+0.15],绿亮[+0.12],绿暗[+0.11],绿暗[+0.13],绿暗[+0.15],绿暗[+0.16],高-低-低-低-高-高,否,0.38,10.73,185.93,131.49,23.08
2025-11-05,601118,海南橡胶,6.02,1.18,33,绿亮[+0.25],绿亮[+0.22],绿亮[+0.18],绿暗[+0.17],绿亮[+0.18],绿暗[+0.17],低-高-低-高-高-高,否,2.03,-68.23,250.35,250.35,8.33
2025-11-05,601700,风范股份,5.32,7.04,13,绿亮[+0.17],绿亮[+0.14],绿暗[+0.13],绿亮[+0.13],绿亮[+0.13],绿亮[+0.12],低-低-低-低-低-低,否,4.5,226.58,64.65,64.65,26.34
2025-11-05,603105,芯能科技,10.52,10.04,30,绿亮[+0.10],绿暗[+0.08],绿暗[+0.09],绿暗[+0.11],绿暗[+0.16],绿暗[+0.18],低-低-低-低-低-低,否,1.89,18.51,45.95,45.95,4.31
2025-11-05,603191,望变电气,18.25,7.99,53,红暗[-0.37],红暗[-0.61],红暗[-0.83],红暗[-0.86],红暗[-0.89],红亮[-0.98],低-高-低-低-高-高,否,1.65,45.61,49.22,48.88,18.1
2025-11-05,603312,西典新能,58.69,10.01,9,绿亮[+0.74],红暗[-0.17],红暗[-1.07],红亮[-1.16],红亮[-0.89],红亮[-0.67],低-低-低-低-低-高,是,2.97,26.63,74.88,23.83,50.29
2025-11-05,603628,清源股份,14.57,1.96,15,绿亮[+0.56],绿暗[+0.50],绿暗[+0.51],绿亮[+0.53],绿亮[+0.47],绿亮[+0.43],低-低-低-低-低-低,否,3.79,27.86,36.87,36.74,8.78
2025-11-05,603656,泰禾智能,24.78,0.12,18,绿亮[+0.33],红暗[-0.02],红暗[-0.52],红暗[-0.73],红亮[-0.73],红亮[-0.64],低-低-低-低-高-高,否,1.41,110.06,42.23,42.23,22.05
2025-11-05,603838,*ST四通,8.58,5.02,14,绿亮[+0.06],红暗[-0.03],红暗[-0.06],红暗[-0.09],红暗[-0.11],红暗[-0.12],高-高-高-高-高-高,是,0.82,-49.95,23.94,23.94,33.81
2025-11-05,603906,龙蟠科技,19.13,10.01,21,红暗[-0.07],红暗[-0.31],红暗[-0.65],红暗[-0.95],红亮[-1.10],红亮[-1.10],低-低-低-低-低-低,是,4.57,-93.07,137.08,113.07,93.15
2025-11-05,603997,继峰股份,14.2,1.94,12,绿亮[+0.30],绿亮[+0.19],绿亮[+0.03],红暗[-0.05],红亮[-0.06],绿暗[+0.00],低-高-高-高-高-高,否,0.44,52.82,176.84,176.84,21.4
