日期,代码,名称,现价,涨幅(%),连续挤压天数,前6日,前5日,前4日,前3日,前2日,前1日,前6天突趋势,最近是否ATH,换手率(%),市盈率(动),总市值(亿),流通市值(亿),年涨幅(%)
2025-12-31,000672,上峰水泥,12.99,9.99,43,绿暗[+0.53],绿暗[+0.53],绿亮[+0.55],绿亮[+0.51],绿亮[+0.48],绿暗[+0.45],低-低-高-高-低-低,是,2.67,17.89,125.92,125.92,84.78
2025-12-31,000708,中信特钢,16.37,1.3,17,绿亮[+0.31],绿亮[+0.21],绿亮[+0.11],绿亮[+0.07],绿亮[+0.06],绿暗[+0.06],低-低-低-低-低-高,否,0.21,14.31,826.22,826.22,52.99
2025-12-31,000978,桂林旅游,7.24,2.26,24,绿亮[+0.22],绿亮[+0.18],绿亮[+0.14],绿亮[+0.13],绿亮[+0.11],绿亮[+0.09],低-高-高-高-高-高,否,3.55,71.07,33.89,33.89,19.87
2025-12-31,002413,雷科防务,12.55,9.99,7,绿亮[+0.52],绿亮[+0.27],绿暗[+0.23],绿暗[+0.44],绿暗[+0.65],绿暗[+0.87],高-高-高-高-高-高,是,13.4,-136.8,165.28,162.28,187.84
2025-12-31,002683,广东宏大,47.8,7.44,40,绿亮[+2.47],绿亮[+2.26],绿亮[+1.79],绿亮[+1.32],绿暗[+1.07],绿暗[+1.09],低-低-低-低-低-低,否,4.87,41.7,363.28,317.7,84.98
2025-12-31,002848,*ST高斯,8.98,5.03,30,红暗[-0.03],红暗[-0.18],红暗[-0.27],红暗[-0.31],红暗[-0.34],红亮[-0.34],低-低-低-低-低-低,否,3.57,-26.79,15.01,14.81,18.47
2025-12-31,600236,桂冠电力,7.83,3.16,16,绿亮[+0.17],绿亮[+0.08],绿亮[+0.04],红暗[-0.01],红亮[-0.03],红亮[-0.01],低-低-低-低-低-低,否,0.57,19.13,617.19,617.19,18.1
2025-12-31,600938,中国海油,30.18,1.07,25,绿亮[+0.13],红暗[-0.16],红亮[-0.31],红暗[-0.30],红亮[-0.30],红暗[-0.28],低-低-低-低-低-低,否,1.49,10.55,14344.54,902.38,6.87
2025-12-31,603286,日盈电子,69.16,2.99,6,绿亮[+4.58],绿亮[+3.96],绿暗[+3.84],绿暗[+4.22],绿暗[+4.76],绿暗[+5.34],低-低-低-低-高-高,否,8.65,-332.97,81.19,79.82,253.76
