日期,代码,名称,当前价,涨幅(%),前1日,前2日,前3日,前4日,前5日,前6日,SQZ释放评分,建议止损价,连续挤压个数,SQUEEZE_ADX策略命中,SQUEEZE_RESISTANCE策略命中,换手率(%),市盈率(动),总市值(亿),流通市值(亿),年涨幅(%)
2025-12-30,000837,秦川机床,12.99,2.36,绿|亮,绿|亮,红|暗,红|亮,红|亮,红|暗,10.1,12.13,14,,,3.78,209.57,132.91,130.86,45.3
2025-12-30,000973,佛塑科技,14.74,-3.34,绿|亮,红|暗,红|暗,红|暗,红|暗,红|暗,15.6,12.13,19,,,13.9,127.44,142.6,142.6,149.41
2025-12-30,001299,美能能源,13.37,10.04,绿|亮,绿|亮,红|暗,红|暗,红|暗,红|暗,11.1,10.97,9,"{""ADX"": 27.79, ""+DI"": 42.04, ""-DI"": 12.92}",,5.71,36.72,32.44,29.2,50.9
2025-12-30,001306,夏厦精密,90.9,4.97,绿|亮,绿|亮,红|暗,红|暗,红|亮,红|暗,10.7,80.71,14,"{""ADX"": 31.43, ""+DI"": 34.64, ""-DI"": 14.24}",,22.12,169.44,57.13,14.09,62.21
2025-12-30,001316,润贝航科,37.49,-1.13,绿|亮,绿|亮,红|暗,红|暗,红|亮,红|亮,10.5,35.09,8,,,1.95,27.45,43.16,41.72,86.42
2025-12-30,001319,铭科精技,27.51,2.34,绿|亮,绿|亮,绿|亮,红|暗,红|亮,红|暗,7.1,25.52,13,,,7.92,29.44,38.9,22.56,11.11
2025-12-30,002050,三花智控,52.5,9.99,绿|亮,绿|亮,绿|亮,绿|暗,绿|暗,绿|暗,3.3,43.76,18,,,7.63,51.1,2209.21,1934.2,125.71
2025-12-30,002092,中泰化学,5.15,7.29,绿|亮,红|暗,红|暗,红|暗,红|暗,红|暗,15.6,4.57,9,,,4.86,-55.82,133.39,132.64,19.49
2025-12-30,002100,天康生物,7.6,4.97,绿|亮,绿|亮,绿|亮,绿|亮,绿|亮,绿|亮,2.1,6.92,10,,,4.86,18.9,103.76,103.76,20.06
2025-12-30,002138,顺络电子,36.52,0.11,绿|亮,绿|亮,绿|亮,绿|亮,红|暗,红|暗,4.8,34.6,18,,,1.93,28.72,294.47,276.28,18.23
