日期,代码,名称,当前价,涨幅(%),前1日,前2日,前3日,前4日,前5日,前6日,SQZ释放评分,SQUEEZE_ADX策略命中,SQUEEZE_RESISTANCE策略命中,建议止损价,换手率(%),市盈率(动),总市值(亿),流通市值(亿),年涨幅(%)
2025-12-29,600989,宝丰能源,19.01,0.69,绿|亮,绿|亮,绿|亮,红|暗,红|暗,红|暗,7.5,,,18.08,0.5,11.68,1394.07,1394.07,17.71
2025-12-29,601615,明阳智能,14.77,0.27,绿|亮,绿|亮,绿|亮,绿|亮,绿|亮,绿|亮,2.1,,,13.94,2.81,32.71,334.02,334.02,19.89
2025-12-29,603002,宏昌电子,7.62,0.53,绿|亮,绿|亮,绿|亮,绿|亮,绿|暗,绿|暗,2.7,,,7.18,1.64,264.37,86.42,86.42,42.43
2025-12-29,603013,亚普股份,24.59,3.58,绿|亮,绿|亮,绿|亮,红|亮,绿|暗,绿|暗,4.8,,,21.98,2.13,22.67,126.05,126.05,68.66
2025-12-29,603028,赛福天,8.82,3.64,绿|亮,绿|亮,红|暗,红|暗,红|暗,红|亮,10.9,,,7.79,13.97,1336.17,25.32,25.07,45.54
2025-12-29,603083,剑桥科技,134.8,6.33,绿|亮,绿|亮,绿|亮,绿|暗,绿|暗,绿|暗,3.3,,,115.11,13.98,137.5,475.37,371.49,234.24
2025-12-29,603458,勘设股份,9.49,9.97,绿|亮,绿|亮,绿|亮,绿|亮,红|暗,红|亮,4.6,"{""ADX"": 26.85, ""+DI"": 34.14, ""-DI"": 10.43}","{""突破趋势"": ""低-低-低"", ""突破得分"": 3, ""EMA200"": 8.08, ""前高"": 9.09}",7.96,10.59,-16.5,29.05,29.05,64.19
2025-12-29,603611,诺力股份,24.41,1.29,绿|亮,绿|亮,绿|亮,绿|亮,绿|亮,绿|暗,2.3,,,23.33,1.53,11.9,62.88,62.88,43.17
2025-12-29,603915,国茂股份,18.3,0.94,绿|亮,绿|亮,绿|暗,绿|暗,绿|暗,绿|暗,4.1,,,17.27,2.24,48.62,120.16,120.16,59.41
2025-12-29,603920,世运电路,46.45,0.43,绿|亮,绿|暗,绿|亮,绿|暗,绿|暗,绿|暗,4.3,,"{""突破趋势"": ""低-低-高"", ""突破得分"": 2, ""EMA200"": 34.3, ""前高"": 44.99}",43.45,5.78,40.16,334.72,334.72,62.98
2025-12-29,603936,博敏电子,12.95,10.03,绿|暗,绿|亮,绿|亮,绿|暗,绿|暗,绿|暗,4.5,"{""ADX"": 26.81, ""+DI"": 33.78, ""-DI"": 9.27}",,11.06,16.19,152.58,81.64,81.64,53.8
2025-12-29,605020,永和股份,26.9,-0.19,绿|亮,绿|亮,绿|亮,绿|亮,绿|亮,绿|亮,2.1,,,25.72,1.13,21.96,137.4,135.27,33.96
2025-12-29,605122,四方新材,14.78,6.56,绿|亮,绿|亮,红|暗,红|暗,红|暗,红|暗,11.1,"{""ADX"": 29.15, ""+DI"": 48.46, ""-DI"": 11.9}",,13.0,13.61,-53.42,25.47,25.47,39.04
